Commission Agent,Policy No,Premium transaction name,Policy Status,Applied Premium Date,Issued Date,Receive Policy date,Freelook,CUTOFF,Status,Premium Collected,FYC,RYC,Total Com
60000288,80001249,Premium Collection            ,IF,2024-01-12,2015-12-03,2015-12-09,2960.0,20240115,5,8571000.0,0.0,177000.0,177000.0
60000288,80001250,Premium Collection            ,IF,2024-01-12,2015-12-03,2015-12-09,2960.0,20240115,5,8995000.0,0.0,185000.0,185000.0
60000449,80028119,Flex Prem Premium Collection  ,IF,2024-01-05,2018-08-27,2018-09-05,1959.0,20240115,5,500000.0,0.0,5000.0,5000.0
60000503,80000992,Premium Collection            ,IF,2024-01-15,2015-11-16,2015-11-19,2980.0,20240115,5,5070000.0,0.0,107000.0,107000.0
60000727,80060438,Flex Prem Premium Collection  ,IF,2024-01-02,2020-06-29,2020-07-10,1285.0,20240115,5,3590000.0,0.0,211000.0,211000.0
60000727,80060444,Flex Prem Premium Collection  ,IF,2024-01-02,2020-06-29,2020-07-10,1285.0,20240115,5,3364000.0,0.0,208000.0,208000.0
60001194,80002559,Premium Collection            ,IF,2024-01-14,2016-04-15,2016-04-25,2822.0,20240115,5,2543000.0,0.0,52000.0,52000.0
60001255,80008668,Flex Prem Premium Collection  ,IF,2024-01-08,2016-12-28,2017-01-03,2569.0,20240115,5,3000000.0,0.0,30000.0,30000.0
60001255,80009245,Flex Prem Premium Collection  ,IF,2024-01-14,2017-01-19,2017-01-24,2548.0,20240115,5,3151000.0,0.0,32000.0,32000.0
60001457,80000227,Premium Collection            ,IF,2024-01-09,2014-11-13,2014-11-16,3348.0,20240115,5,2733000.0,0.0,55000.0,55000.0
60001457,80007951,Flex Prem Premium Collection  ,IF,2024-01-15,2016-12-09,2016-12-20,2583.0,20240115,5,7262000.0,0.0,85000.0,85000.0
60001457,80008448,Premium Collection            ,IF,2024-01-02,2016-12-27,2016-12-30,2573.0,20240115,5,4012000.0,0.0,80000.0,80000.0
60001457,80008678,Premium Collection            ,IF,2024-01-15,2016-12-28,2017-01-03,2569.0,20240115,5,6150000.0,0.0,127000.0,127000.0
60001457,80008991,Flex Prem Premium Collection  ,IF,2024-01-15,2017-01-03,2017-01-05,2567.0,20240115,5,5702000.0,0.0,59000.0,59000.0
60001457,80014517,Component change - prem coll  ,IF,2024-01-08,2017-08-23,2017-08-28,2332.0,20240115,5,1253000.0,451000.0,0.0,451000.0
60001470,80001330,Premium Collection            ,IF,2024-01-08,2015-12-23,2015-12-26,2943.0,20240115,5,7449000.0,0.0,149000.0,149000.0
60001470,80001331,Premium Collection            ,IF,2024-01-08,2015-12-23,2015-12-26,2943.0,20240115,5,7523000.0,0.0,150000.0,150000.0
