,AgentNumber,PolicyNo,CUT_OFF,Applied Premium Date,Issued Date,Premium Collected,Receive Policy date,Freelook,FYC,RYC,Final_FYC,Final_RYC,Total_Commision,FYC/RYC,Status,Final_Result,KyTinhToan,KyKhoaSo,KyThanhToan
0,60000194,80001092,20240126,2024-01-25,2015-11-27,10393000.0,2015-12-01,2979.0,0.0,212000.0,0.0,212000.0,212000.0,RYC,5,5,20240126,20240126,20240126
4,60000194,80001673,20240126,2024-01-18,2016-01-19,5724000.0,2016-01-25,2924.0,0.0,126000.0,0.0,126000.0,126000.0,RYC,5,5,20240126,20240126,20240126
10,60000288,80001249,20240115,2024-01-12,2015-12-03,8571000.0,2015-12-09,2960.0,0.0,177000.0,0.0,177000.0,177000.0,RYC,5,5,20240115,20240115,20240115
14,60000288,80001250,20240115,2024-01-12,2015-12-03,8995000.0,2015-12-09,2960.0,0.0,185000.0,0.0,185000.0,185000.0,RYC,5,5,20240115,20240115,20240115
18,60000449,80003490,20240126,2024-01-16,2016-06-22,3122000.0,2016-06-28,2769.0,0.0,65000.0,0.0,65000.0,65000.0,RYC,5,5,20240126,20240126,20240126
20,60000449,80028119,20240115,2024-01-05,2018-08-27,500000.0,2018-09-05,1959.0,0.0,5000.0,0.0,5000.0,5000.0,RYC,5,5,20240115,20240115,20240115
21,60000450,80093266,20240126,2024-01-22,2021-09-30,15531000.0,2021-10-05,844.0,0.0,1159000.0,0.0,1159000.0,1159000.0,RYC,5,5,20240126,20240126,20240126
33,60000450,80096961,20240126,2024-01-19,2021-11-26,20208000.0,2021-12-04,784.0,0.0,1430000.0,0.0,1430000.0,1430000.0,RYC,5,5,20240126,20240126,20240126
46,60000477,80018406,20240126,2024-01-22,2017-12-25,6000000.0,2017-12-31,2218.0,0.0,60000.0,0.0,60000.0,60000.0,RYC,5,5,20240126,20240126,20240126
47,60000482,80111566,20240126,2024-01-23,2022-06-02,11094000.0,2022-06-09,597.0,0.0,1047000.0,0.0,1047000.0,1047000.0,RYC,5,5,20240126,20240126,20240126
51,60000482,80132262,20240126,2024-01-26,2023-01-27,16026000.0,2023-02-02,359.0,0.0,1497000.0,0.0,1497000.0,1497000.0,RYC,5,5,20240126,20240126,20240126
55,60000503,80000992,20240115,2024-01-15,2015-11-16,5070000.0,2015-11-19,2980.0,0.0,107000.0,0.0,107000.0,107000.0,RYC,5,5,20240115,20240115,20240115
57,60000503,80001095,20240126,2024-01-22,2015-11-28,6020000.0,2015-12-05,2975.0,0.0,120000.0,0.0,120000.0,120000.0,RYC,5,5,20240126,20240126,20240126
