,Commission Agent,Policy No,Premium transaction name,Policy Status,Applied Premium Date,CheckTer,Issued Date,Receive Policy date,Freelook,CUTOFF,Premium Collected,FYC,RYC,Status
0,60000194,80001092,Premium Collection            ,IF,2024-01-25,,2015-11-27,2015-12-01,2979.0,20240126,10393000.0,0.0,212000.0,5
1,60000194,80001673,Premium Collection            ,IF,2024-01-18,,2016-01-19,2016-01-25,2924.0,20240126,5724000.0,0.0,126000.0,5
2,60000288,80001249,Premium Collection            ,IF,2024-01-12,,2015-12-03,2015-12-09,2960.0,20240115,8571000.0,0.0,177000.0,5
3,60000288,80001249,Premium Collection            ,IF,2024-01-12,,2015-12-03,2015-12-09,2971.0,20240126,8571000.0,0.0,177000.0,5
4,60000288,80001250,Premium Collection            ,IF,2024-01-12,,2015-12-03,2015-12-09,2960.0,20240115,8995000.0,0.0,185000.0,5
5,60000288,80001250,Premium Collection            ,IF,2024-01-12,,2015-12-03,2015-12-09,2971.0,20240126,8995000.0,0.0,185000.0,5
6,60000449,80003490,Premium Collection            ,IF,2024-01-16,,2016-06-22,2016-06-28,2769.0,20240126,3122000.0,0.0,65000.0,5
7,60000449,80028119,Flex Prem Premium Collection  ,IF,2024-01-05,,2018-08-27,2018-09-05,1959.0,20240115,500000.0,0.0,5000.0,5
8,60000449,80028119,Flex Prem Premium Collection  ,IF,2024-01-05,,2018-08-27,2018-09-05,1970.0,20240126,500000.0,0.0,5000.0,5
9,60000450,80093266,Premium Collection            ,IF,2024-01-22,,2021-09-30,2021-10-05,844.0,20240126,15531000.0,0.0,1159000.0,5
10,60000450,80096961,Premium Collection            ,IF,2024-01-19,,2021-11-26,2021-12-04,784.0,20240126,20208000.0,0.0,1430000.0,5
11,60000477,80018406,Flex Prem Premium Collection  ,IF,2024-01-22,,2017-12-25,2017-12-31,2218.0,20240126,6000000.0,0.0,60000.0,5
12,60000482,80111566,Premium Collection            ,IF,2024-01-23,,2022-06-02,2022-06-09,597.0,20240126,11094000.0,0.0,1047000.0,5
13,60000482,80132262,Premium Collection            ,IF,2024-01-26,,2023-01-27,2023-02-02,359.0,20240126,16026000.0,0.0,1497000.0,5
14,60000503,80000992,Premium Collection            ,IF,2024-01-15,,2015-11-16,2015-11-19,2980.0,20240115,5070000.0,0.0,107000.0,5
15,60000503,80000992,Premium Collection            ,IF,2024-01-15,,2015-11-16,2015-11-19,2991.0,20240126,5070000.0,0.0,107000.0,5
16,60000503,80001095,Premium Collection            ,IF,2024-01-22,,2015-11-28,2015-12-05,2975.0,20240126,6020000.0,0.0,120000.0,5
17,60000564,80000483,Premium Collection            ,IF,2024-01-16,,2015-07-17,2015-07-21,3112.0,20240126,5965000.0,0.0,126000.0,5
18,60000564,80001517,Premium Collection            ,IF,2024-01-16,,2015-12-30,2016-01-05,2944.0,20240126,7025000.0,0.0,142000.0,5
19,60000707,80002008,Premium Collection            ,IF,2024-01-25,,2016-02-27,2016-03-08,2881.0,20240126,4180000.0,0.0,84000.0,5
20,60000717,80126041,Premium Collection            ,IF,2024-01-16,,2022-11-28,2022-12-07,416.0,20240126,26784000.0,0.0,2424000.0,5
21,60000727,80001029,Premium Collection            ,IF,2024-01-18,,2015-11-23,2015-11-30,2980.0,20240126,7742000.0,0.0,155000.0,5
22,60000727,80001133,Premium Collection            ,IF,2024-01-24,,2015-11-30,2015-12-05,2975.0,20240126,7972000.0,0.0,165000.0,5
23,60000727,80013488,Flex Prem Premium Collection  ,IF,2024-01-16,,2017-07-20,2017-07-27,2375.0,20240126,5953000.0,0.0,60000.0,5
