,Issuing Agent,PolicyNum,Product Code,Count_Policy,Base/Rider
0,60058033,80133017,RHB1,1,Rider
1,60058033,80133017,URC6,1,Rider
2,60058033,80133017,URA5,1,Rider
3,60058033,80133017,UL05,1,Base
4,60058033,80133017,RHS1,1,Rider
5,60058033,80133017,URC5,1,Rider
6,60074577,80131475,URA5,1,Rider
7,60074577,80131475,RHB1,1,Rider
8,60074577,80131475,URC5,1,Rider
9,60074577,80131475,UL05,1,Base
10,60038818,80131270,EE04,1,Base
11,60073191,80132838,RHS1,1,Rider
12,60073191,80132838,URA5,1,Rider
13,60073191,80132838,URC5,1,Rider
14,60073191,80132838,UL05,1,Base
15,60073191,80132838,RHB1,1,Rider
16,60006440,80131585,UL05,1,Base
17,60055614,80132009,UL06,1,Base
18,60057388,80132550,UL06,1,Base
19,60075196,80131526,URC5,1,Rider
20,60075196,80131526,URW5,1,Rider
21,60075196,80131526,UL05,1,Base
22,60075196,80131526,URA5,1,Rider
23,60075876,80131686,RHB1,1,Rider
24,60075876,80131686,URA5,1,Rider
25,60075876,80131686,UL05,1,Base
26,60075876,80131686,RHS1,1,Rider
27,60057389,80132719,UL06,1,Base
28,60074212,80132127,URA5,1,Rider
29,60074212,80132127,UL05,1,Base
30,60074212,80132127,RHB1,1,Rider
31,60074212,80132127,URC5,1,Rider
32,60039717,80132462,UL06,1,Base
33,60039717,80132462,URC6,1,Rider
34,60039717,80132462,URW5,1,Rider
35,60039717,80132462,URC5,1,Rider
36,60039717,80132462,RHB1,1,Rider
37,60039717,80132462,URA5,1,Rider
38,60039717,80132462,RHS1,1,Rider
39,60073214,80131438,URC5,1,Rider
40,60073214,80131438,RHS1,1,Rider
41,60073214,80131438,UL05,1,Base
42,60073214,80131438,RHB1,1,Rider
43,60073214,80131438,URA5,1,Rider
44,60075961,80132908,UL05,1,Base
45,60075961,80132908,URA5,1,Rider
46,60075961,80132908,RHB1,1,Rider
47,60075961,80132908,URC5,1,Rider
48,60032816,80132770,RHB1,1,Rider
49,60032816,80132770,URA5,1,Rider
50,60032816,80132770,URC6,1,Rider
51,60032816,80132770,UL05,1,Base
52,60032816,80132770,URC5,1,Rider
53,60032816,80132770,RHS1,1,Rider
54,60059145,80131807,URA5,1,Rider
55,60059145,80131807,RHB1,1,Rider
56,60059145,80131807,URC5,1,Rider
57,60059145,80131807,UL05,1,Base
58,60075885,80131725,URC5,1,Rider
59,60075885,80131725,UL05,1,Base
60,60075885,80131725,URA5,1,Rider
61,60075885,80131725,RHB1,1,Rider
62,60057063,80131534,URT5,1,Rider
63,60057063,80131534,URC6,1,Rider
64,60057063,80131534,URC5,1,Rider
65,60057063,80131534,URA5,1,Rider
66,60057063,80131534,UL05,1,Base
67,60057063,80131534,RHB1,1,Rider
68,60074116,80131672,URC6,1,Rider
69,60074116,80131672,URA5,1,Rider
70,60074116,80131672,UL05,1,Base
71,60074116,80131672,URC5,1,Rider
72,60073437,80132508,URC5,1,Rider
73,60073437,80132508,UL05,1,Base
74,60074961,80130533,UL05,1,Base
75,60074961,80130533,URA5,1,Rider
76,60075864,80131663,UL05,1,Base
77,60075864,80131663,RHB1,1,Rider
78,60075864,80131663,URC6,1,Rider
79,60075864,80131663,URA5,1,Rider
80,60059145,80131797,UL05,1,Base
81,60059145,80131797,URC5,1,Rider
82,60059145,80131797,RHB1,1,Rider
83,60059145,80131797,URA5,1,Rider
84,60006894,80132620,UL05,1,Base
85,60006894,80132620,URC5,1,Rider
86,60006894,80132620,URA5,1,Rider
87,60006894,80132620,URC6,1,Rider
88,60006894,80132620,RHS1,1,Rider
89,60006894,80132620,RHB1,1,Rider
90,60006894,80132620,URT5,1,Rider
91,60027377,80131458,URC6,1,Rider
92,60027377,80131458,RHB1,1,Rider
93,60027377,80131458,URA5,1,Rider
94,60027377,80131458,UL05,1,Base
95,60027377,80131458,URC5,1,Rider
96,60070970,80131710,UL05,1,Base
97,60075667,80131499,URA5,1,Rider
98,60075667,80131499,UL06,1,Base
99,60069020,80133032,URA5,1,Rider
100,60069020,80133032,RHS1,1,Rider
101,60069020,80133032,RHB1,1,Rider
102,60069020,80133032,UL06,1,Base
103,60069020,80133032,URC5,1,Rider
104,60075799,80132448,UL05,1,Base
105,60075799,80132448,RHS1,1,Rider
106,60075799,80132448,URA5,1,Rider
107,60075799,80132448,URC5,1,Rider
108,60075799,80132448,RHB1,1,Rider
109,60039270,80131902,RHB1,1,Rider
110,60039270,80131902,UL06,1,Base
111,60039270,80131902,URC5,1,Rider
112,60039270,80131902,RHS1,1,Rider
113,60039270,80131902,URC6,1,Rider
114,60039270,80131902,URA5,1,Rider
115,60010297,80131551,URA5,1,Rider
116,60010297,80131551,URT5,1,Rider
117,60010297,80131551,URC5,1,Rider
118,60010297,80131551,RHB1,1,Rider
119,60010297,80131551,UL05,1,Base
120,60010297,80131551,URC6,1,Rider
121,60059148,80131739,RHB1,1,Rider
122,60059148,80131739,URC5,1,Rider
123,60059148,80131739,URA5,1,Rider
124,60059148,80131739,UL05,1,Base
125,60073086,80132861,UL05,1,Base
126,60073086,80132861,URA5,1,Rider
127,60073086,80132861,URC5,1,Rider
128,60073086,80132861,RHB1,1,Rider
129,60067591,80131868,RHB1,1,Rider
130,60067591,80131868,URA5,1,Rider
131,60067591,80131868,UL05,1,Base
132,60067591,80131868,URC5,1,Rider
133,60067591,80131868,RHS1,1,Rider
134,60075172,80132859,RHB1,1,Rider
135,60075172,80132859,URC5,1,Rider
136,60075172,80132859,UL05,1,Base
137,60075172,80132859,URA5,1,Rider
138,60035726,80131473,UL05,1,Base
139,60035726,80131473,RHB1,1,Rider
140,60035726,80131473,URC5,1,Rider
141,60035726,80131473,URA5,1,Rider
142,60055623,80132729,URA5,1,Rider
143,60055623,80132729,UL06,1,Base
144,60064945,80131782,UL06,1,Base
145,60064945,80131782,URA5,1,Rider
146,60064945,80131782,URC5,1,Rider
147,60055932,80131787,RHB1,1,Rider
148,60055932,80131787,URC5,1,Rider
149,60055932,80131787,UL05,1,Base
150,60055932,80131787,URA5,1,Rider
151,60076106,80132597,URA5,1,Rider
152,60076106,80132597,UL05,1,Base
153,60075147,80132136,UL05,1,Base
154,60075147,80132136,URA5,1,Rider
155,60075147,80132136,URC5,1,Rider
156,60075147,80132136,URC6,1,Rider
157,60059033,80132217,URC5,1,Rider
158,60059033,80132217,RHB1,1,Rider
159,60059033,80132217,URA5,1,Rider
160,60059033,80132217,UL05,1,Base
161,60059033,80132217,RHS1,1,Rider
162,60066784,80132126,URC5,1,Rider
163,60066784,80132126,RHB1,1,Rider
164,60066784,80132126,UL05,1,Base
165,60066784,80132126,URA5,1,Rider
166,60063260,80132981,URC5,1,Rider
167,60063260,80132981,URA5,1,Rider
168,60063260,80132981,RHB1,1,Rider
169,60063260,80132981,UL05,1,Base
170,60063260,80132981,RHS1,1,Rider
171,60063260,80132981,URW5,1,Rider
