Servicing Agent,AFYP(+),AFYP(-)
60000194,0.0,0.0
60000449,0.0,0.0
60000482,16026000.0,0.0
60000564,0.0,0.0
60000717,16141000.0,0.0
60000727,51640000.0,0.0
60000908,0.0,0.0
60001094,0.0,0.0
60001255,0.0,0.0
60001457,0.0,0.0
60001470,0.0,0.0
60001894,0.0,0.0
60002084,0.0,0.0
60002504,0.0,0.0
60002860,0.0,0.0
60002954,0.0,0.0
60003391,0.0,0.0
60003427,0.0,0.0
60003542,0.0,0.0
60004295,0.0,0.0
60004663,0.0,0.0
60004979,0.0,0.0
60005229,0.0,0.0
60005359,0.0,0.0
60005410,0.0,0.0
60005526,0.0,0.0
60005617,0.0,0.0
60005648,0.0,0.0
60005660,10178000.0,0.0
60005705,0.0,0.0
60005760,0.0,0.0
60005858,0.0,0.0
60005897,12289000.0,0.0
60005947,0.0,0.0
60006168,0.0,0.0
60006251,0.0,0.0
60006440,18002000.0,0.0
60006447,0.0,0.0
60006569,0.0,0.0
60006589,0.0,0.0
60006625,0.0,0.0
60006667,0.0,0.0
60006668,0.0,0.0
60006669,0.0,0.0
60006672,0.0,0.0
60006677,17558000.0,0.0
60006707,0.0,0.0
60006743,0.0,0.0
60006754,16595000.0,0.0
60006786,10223000.0,0.0
60006894,80873000.0,0.0
60006914,0.0,0.0
60006916,0.0,0.0
60006926,0.0,0.0
60007095,0.0,0.0
60007127,0.0,0.0
60007165,0.0,0.0
60007492,0.0,0.0
60007528,0.0,0.0
60007595,0.0,0.0
60007655,0.0,0.0
60007696,0.0,0.0
60007702,0.0,0.0
60007707,0.0,0.0
60007708,92353200.0,0.0
60007710,0.0,0.0
60007717,0.0,0.0
60007834,0.0,0.0
60007847,0.0,0.0
60008144,0.0,0.0
60008153,0.0,0.0
60008248,0.0,0.0
60008296,15572000.0,0.0
60008299,0.0,0.0
60008316,0.0,0.0
60008318,0.0,0.0
60008350,0.0,0.0
60008398,0.0,0.0
60008405,0.0,0.0
60008440,0.0,0.0
60008447,0.0,0.0
60008469,16623000.0,0.0
60008543,8249000.0,0.0
60008571,0.0,0.0
60008572,0.0,0.0
60008585,0.0,0.0
60008631,0.0,0.0
60008637,0.0,0.0
60008710,0.0,0.0
60008718,0.0,0.0
60008776,19000000.0,0.0
60008788,0.0,0.0
60008849,0.0,0.0
60008853,0.0,0.0
60008893,0.0,0.0
60008927,53643000.0,0.0
60008928,10743000.0,0.0
60008930,21136000.0,0.0
60008936,12122000.0,0.0
60008938,0.0,0.0
60008953,0.0,0.0
60008955,0.0,0.0
60008972,0.0,0.0
60009025,0.0,0.0
60009026,0.0,0.0
60009098,0.0,0.0
60009100,0.0,0.0
60009114,0.0,0.0
60009123,0.0,0.0
60009139,0.0,0.0
60009248,0.0,0.0
60009300,0.0,0.0
60009335,0.0,0.0
60009348,0.0,0.0
60009402,0.0,0.0
60009481,0.0,0.0
60009490,22064000.0,0.0
60009496,0.0,0.0
60009501,0.0,0.0
60009597,0.0,0.0
60009604,0.0,0.0
60009632,0.0,0.0
60009695,0.0,0.0
60009698,0.0,0.0
60009733,0.0,0.0
60009754,0.0,0.0
60009770,0.0,0.0
60009800,0.0,0.0
60009815,0.0,0.0
60009868,0.0,0.0
60009876,0.0,0.0
60009895,0.0,0.0
60009925,0.0,0.0
60009928,0.0,0.0
60009931,0.0,0.0
60009998,0.0,0.0
60010004,0.0,0.0
60010007,0.0,0.0
60010102,0.0,0.0
60010297,18050000.0,0.0
60010307,0.0,0.0
60010314,0.0,0.0
60010418,0.0,0.0
60010424,0.0,0.0
60010440,0.0,0.0
60010560,0.0,0.0
60010691,0.0,0.0
60010705,0.0,0.0
60010785,0.0,0.0
60010810,0.0,0.0
60010828,0.0,0.0
60010830,0.0,0.0
60010896,0.0,0.0
60010920,0.0,0.0
60010925,0.0,0.0
60010948,0.0,0.0
60010957,10368000.0,0.0
60011083,0.0,0.0
60011112,0.0,0.0
60011125,0.0,0.0
60011127,0.0,0.0
60011147,0.0,0.0
60011220,0.0,0.0
60011224,0.0,0.0
60011277,0.0,0.0
60011294,10029000.0,0.0
60011299,0.0,0.0
60011319,0.0,0.0
60011331,0.0,0.0
60011375,0.0,0.0
60011382,0.0,0.0
60011395,0.0,0.0
60011529,0.0,0.0
60011561,0.0,0.0
60011562,0.0,0.0
60011576,0.0,0.0
60011582,0.0,0.0
60011631,0.0,0.0
60011633,0.0,0.0
60011716,0.0,0.0
60011752,0.0,0.0
60011794,0.0,0.0
60011799,0.0,0.0
60011862,0.0,0.0
60011880,0.0,0.0
60011898,0.0,0.0
60011915,0.0,0.0
60011925,0.0,0.0
60011927,0.0,0.0
60011951,0.0,0.0
60011952,0.0,0.0
60011973,0.0,0.0
60012001,0.0,0.0
60012011,0.0,0.0
60012035,0.0,0.0
60012054,0.0,0.0
60012081,9432000.0,0.0
60012128,0.0,0.0
60012161,0.0,0.0
60012163,0.0,0.0
60012169,0.0,0.0
60012230,0.0,0.0
60012232,0.0,0.0
60012256,27978000.0,0.0
60012281,0.0,0.0
60012287,0.0,0.0
60012312,0.0,0.0
60012401,0.0,0.0
60012429,0.0,0.0
60012433,0.0,0.0
60012478,0.0,0.0
60012479,0.0,0.0
60012485,0.0,0.0
60012548,0.0,0.0
60012551,0.0,0.0
60012573,0.0,0.0
60012619,20978000.0,0.0
60012686,0.0,0.0
60012689,0.0,0.0
60012700,0.0,0.0
60012709,0.0,0.0
60012729,0.0,0.0
60012735,0.0,0.0
60012920,0.0,0.0
60012932,0.0,0.0
60013028,10129000.0,0.0
60013081,0.0,0.0
60013104,0.0,0.0
60013338,0.0,0.0
60013398,8005000.0,0.0
60013438,0.0,0.0
60013462,0.0,0.0
60013628,0.0,0.0
60013672,0.0,0.0
60013734,0.0,0.0
60013742,0.0,0.0
60013855,0.0,0.0
60013890,0.0,0.0
60013928,0.0,0.0
60014027,0.0,0.0
60014118,0.0,0.0
60014232,0.0,0.0
60014356,0.0,0.0
60014408,0.0,0.0
60014424,33018000.0,0.0
60014462,4229500.0,-14015000.0
60014465,8229000.0,0.0
60014474,0.0,0.0
60014534,0.0,0.0
60014554,0.0,0.0
60014569,0.0,0.0
60014571,0.0,0.0
60014573,0.0,0.0
60014652,0.0,0.0
60014700,0.0,0.0
60014719,0.0,0.0
60014728,0.0,0.0
60014768,0.0,0.0
60014794,0.0,0.0
60014817,0.0,0.0
60014821,0.0,0.0
60014843,0.0,0.0
60014857,0.0,0.0
60014887,0.0,0.0
60014908,0.0,0.0
60014977,0.0,0.0
60015089,0.0,0.0
60015191,0.0,0.0
60015228,0.0,0.0
60015249,0.0,0.0
60015277,0.0,0.0
60015378,0.0,0.0
60015379,0.0,0.0
60015381,0.0,0.0
60015399,0.0,0.0
60015407,0.0,-12000000.0
60015415,0.0,0.0
60015441,0.0,0.0
60015446,0.0,0.0
60015449,0.0,0.0
60015500,0.0,0.0
60015524,0.0,0.0
