,Issuing Agent,CUTOFF,CC(-),CC(+)
0,60000073,20230131,0.0,0.0
1,60000156,20230131,0.0,0.0
2,60000204,20230131,0.0,0.0
3,60000482,20230131,0.0,1.0
4,60000717,20230131,0.0,1.0
5,60000727,20230131,0.0,3.0
6,60000908,20230131,0.0,0.0
7,60000985,20230131,0.0,0.0
8,60000990,20230131,0.0,0.0
9,60001015,20230131,0.0,0.0
10,60001069,20230131,0.0,0.0
11,60001094,20230131,0.0,0.0
12,60001181,20230131,0.0,0.0
13,60001375,20230131,0.0,0.0
14,60001470,20230131,0.0,0.0
15,60001475,20230131,0.0,0.0
16,60001780,20230131,0.0,0.0
17,60001781,20230131,0.0,0.0
18,60001894,20230131,0.0,0.0
19,60001921,20230131,0.0,0.0
20,60002008,20230131,0.0,0.0
21,60002065,20230131,0.0,0.0
22,60002077,20230131,0.0,0.0
23,60002084,20230131,0.0,0.0
24,60002113,20230131,0.0,0.0
25,60002123,20230131,0.0,0.0
26,60002504,20230131,0.0,0.0
27,60002642,20230131,0.0,0.0
28,60002860,20230131,0.0,0.0
29,60002954,20230131,0.0,0.0
30,60003114,20230131,0.0,0.0
31,60003198,20230131,0.0,0.0
32,60003427,20230131,0.0,0.0
33,60003445,20230131,0.0,0.0
34,60003454,20230131,0.0,0.0
35,60003542,20230131,0.0,0.0
36,60003839,20230131,0.0,0.0
37,60003871,20230131,0.0,0.0
38,60003877,20230131,0.0,0.0
39,60004019,20230131,0.0,0.0
40,60004146,20230131,0.0,0.0
41,60004155,20230131,0.0,0.0
42,60004265,20230131,0.0,0.0
43,60004272,20230131,0.0,0.0
44,60004288,20230131,0.0,0.0
45,60004486,20230131,0.0,0.0
46,60004651,20230131,0.0,0.0
47,60004663,20230131,0.0,0.0
48,60004680,20230131,0.0,0.0
49,60004849,20230131,0.0,0.0
50,60004877,20230131,0.0,0.0
51,60004928,20230131,0.0,0.0
52,60004948,20230131,0.0,0.0
53,60004979,20230131,0.0,0.0
54,60005141,20230131,0.0,0.0
55,60005142,20230131,0.0,0.0
56,60005229,20230131,0.0,0.0
57,60005230,20230131,0.0,0.0
58,60005272,20230131,0.0,0.0
59,60005403,20230131,0.0,0.0
60,60005526,20230131,0.0,0.0
61,60005648,20230131,0.0,0.0
62,60005660,20230131,0.0,1.0
63,60005670,20230131,0.0,0.0
64,60005674,20230131,0.0,0.0
65,60005682,20230131,0.0,0.0
66,60005831,20230131,0.0,0.0
67,60005897,20230131,0.0,1.0
68,60005903,20230131,0.0,0.0
69,60005938,20230131,0.0,0.0
70,60005985,20230131,0.0,0.0
71,60005987,20230131,0.0,0.0
72,60006003,20230131,0.0,0.0
73,60006168,20230131,0.0,0.0
74,60006184,20230131,0.0,0.0
75,60006188,20230131,0.0,0.0
76,60006250,20230131,0.0,0.0
77,60006251,20230131,0.0,0.0
78,60006255,20230131,0.0,0.0
79,60006312,20230131,0.0,0.0
80,60006377,20230131,0.0,0.0
81,60006422,20230131,0.0,0.0
82,60006440,20230131,0.0,1.0
83,60006447,20230131,0.0,0.0
84,60006509,20230131,0.0,0.0
85,60006516,20230131,0.0,0.0
86,60006561,20230131,0.0,0.0
87,60006569,20230131,0.0,0.0
88,60006589,20230131,0.0,0.0
89,60006619,20230131,0.0,0.0
90,60006620,20230131,0.0,0.0
91,60006625,20230131,0.0,0.0
92,60006660,20230131,0.0,0.0
93,60006677,20230131,0.0,2.0
94,60006707,20230131,0.0,0.0
95,60006743,20230131,0.0,0.0
96,60006754,20230131,0.0,1.0
97,60006786,20230131,0.0,1.0
98,60006885,20230131,0.0,0.0
99,60006894,20230131,0.0,3.0
100,60006914,20230131,0.0,0.0
101,60006916,20230131,0.0,0.0
102,60006926,20230131,0.0,0.0
103,60006949,20230131,0.0,0.0
104,60006993,20230131,0.0,0.0
105,60007005,20230131,0.0,0.0
106,60007054,20230131,0.0,0.0
107,60007055,20230131,0.0,0.0
108,60007078,20230131,0.0,0.0
109,60007104,20230131,0.0,0.0
110,60007113,20230131,0.0,0.0
111,60007165,20230131,0.0,0.0
112,60007170,20230131,0.0,0.0
113,60007213,20230131,0.0,0.0
114,60007344,20230131,0.0,0.0
115,60007351,20230131,0.0,0.0
116,60007359,20230131,0.0,0.0
117,60007365,20230131,0.0,0.0
118,60007497,20230131,0.0,0.0
119,60007528,20230131,0.0,0.0
120,60007554,20230131,0.0,0.0
121,60007594,20230131,0.0,0.0
122,60007595,20230131,0.0,0.0
123,60007619,20230131,0.0,0.0
124,60007655,20230131,0.0,0.0
125,60007696,20230131,0.0,0.0
126,60007702,20230131,0.0,0.0
127,60007708,20230131,0.0,2.0
128,60007711,20230131,0.0,0.0
129,60007717,20230131,0.0,0.0
130,60007719,20230131,0.0,0.0
131,60007794,20230131,0.0,0.0
132,60007809,20230131,0.0,0.0
133,60007834,20230131,0.0,0.0
134,60007842,20230131,0.0,0.0
135,60007847,20230131,0.0,0.0
136,60007886,20230131,0.0,0.0
137,60007953,20230131,0.0,0.0
138,60008153,20230131,0.0,0.0
139,60008154,20230131,0.0,0.0
140,60008155,20230131,0.0,0.0
141,60008248,20230131,0.0,0.0
142,60008279,20230131,0.0,0.0
143,60008296,20230131,0.0,1.0
144,60008308,20230131,0.0,0.0
145,60008316,20230131,0.0,0.0
146,60008350,20230131,0.0,0.0
147,60008398,20230131,0.0,0.0
148,60008405,20230131,0.0,0.0
149,60008436,20230131,0.0,0.0
150,60008440,20230131,0.0,0.0
151,60008447,20230131,0.0,0.0
152,60008469,20230131,0.0,1.0
153,60008513,20230131,0.0,0.0
154,60008543,20230131,0.0,1.0
155,60008571,20230131,0.0,0.0
156,60008572,20230131,0.0,0.0
157,60008585,20230131,0.0,0.0
158,60008609,20230131,0.0,0.0
159,60008637,20230131,0.0,0.0
160,60008661,20230131,0.0,0.0
161,60008667,20230131,0.0,0.0
162,60008691,20230131,0.0,0.0
163,60008708,20230131,0.0,0.0
164,60008718,20230131,0.0,0.0
165,60008725,20230131,0.0,0.0
166,60008776,20230131,0.0,1.0
167,60008778,20230131,0.0,0.0
168,60008788,20230131,0.0,0.0
169,60008809,20230131,0.0,0.0
170,60008812,20230131,0.0,0.0
171,60008836,20230131,0.0,0.0
172,60008849,20230131,0.0,0.0
173,60008854,20230131,0.0,0.0
174,60008865,20230131,0.0,0.0
175,60008927,20230131,0.0,2.0
176,60008928,20230131,0.0,1.0
177,60008930,20230131,0.0,2.0
178,60008936,20230131,0.0,1.0
179,60008938,20230131,0.0,0.0
180,60008953,20230131,0.0,0.0
181,60008972,20230131,0.0,0.0
182,60009008,20230131,0.0,0.0
183,60009025,20230131,0.0,0.0
184,60009026,20230131,0.0,0.0
185,60009082,20230131,0.0,0.0
186,60009098,20230131,0.0,0.0
187,60009100,20230131,0.0,0.0
188,60009114,20230131,0.0,0.0
189,60009139,20230131,0.0,0.0
190,60009169,20230131,0.0,0.0
191,60009208,20230131,0.0,0.0
192,60009213,20230131,0.0,0.0
193,60009216,20230131,0.0,0.0
194,60009248,20230131,0.0,0.0
195,60009293,20230131,0.0,0.0
196,60009303,20230131,0.0,0.0
197,60009335,20230131,0.0,0.0
198,60009367,20230131,0.0,0.0
199,60009402,20230131,0.0,0.0
200,60009409,20230131,0.0,0.0
201,60009466,20230131,0.0,0.0
202,60009467,20230131,0.0,0.0
203,60009481,20230131,0.0,0.0
204,60009490,20230131,0.0,1.0
205,60009496,20230131,0.0,0.0
206,60009501,20230131,0.0,0.0
207,60009566,20230131,0.0,0.0
208,60009601,20230131,0.0,0.0
209,60009602,20230131,0.0,0.0
210,60009632,20230131,0.0,0.0
211,60009655,20230131,0.0,0.0
212,60009695,20230131,0.0,0.0
213,60009698,20230131,0.0,0.0
214,60009733,20230131,0.0,0.0
215,60009754,20230131,0.0,0.0
216,60009762,20230131,0.0,0.0
217,60009800,20230131,0.0,0.0
218,60009815,20230131,0.0,0.0
219,60009817,20230131,0.0,0.0
220,60009868,20230131,0.0,0.0
221,60009873,20230131,0.0,0.0
222,60009874,20230131,0.0,0.0
223,60009876,20230131,0.0,0.0
224,60009895,20230131,0.0,0.0
225,60009920,20230131,0.0,0.0
226,60009925,20230131,0.0,0.0
227,60009928,20230131,0.0,0.0
228,60009931,20230131,0.0,0.0
229,60009998,20230131,0.0,0.0
230,60010007,20230131,0.0,0.0
231,60010009,20230131,0.0,0.0
232,60010064,20230131,0.0,0.0
233,60010072,20230131,0.0,0.0
234,60010098,20230131,0.0,0.0
235,60010102,20230131,0.0,0.0
236,60010109,20230131,0.0,0.0
237,60010112,20230131,0.0,0.0
238,60010137,20230131,0.0,0.0
239,60010138,20230131,0.0,0.0
240,60010237,20230131,0.0,0.0
241,60010284,20230131,0.0,0.0
242,60010297,20230131,0.0,1.0
243,60010307,20230131,0.0,0.0
244,60010314,20230131,0.0,0.0
245,60010418,20230131,0.0,0.0
246,60010424,20230131,0.0,0.0
247,60010522,20230131,0.0,0.0
248,60010558,20230131,0.0,0.0
249,60010589,20230131,0.0,0.0
250,60010691,20230131,0.0,0.0
251,60010819,20230131,0.0,0.0
252,60010828,20230131,0.0,0.0
253,60010893,20230131,0.0,0.0
254,60010894,20230131,0.0,0.0
255,60010896,20230131,0.0,0.0
256,60010910,20230131,0.0,0.0
257,60010920,20230131,0.0,0.0
258,60010923,20230131,0.0,0.0
259,60010925,20230131,0.0,0.0
260,60010948,20230131,0.0,0.0
261,60010957,20230131,0.0,1.0
262,60010966,20230131,0.0,0.0
263,60011006,20230131,0.0,0.0
264,60011077,20230131,0.0,0.0
265,60011083,20230131,0.0,0.0
266,60011112,20230131,0.0,0.0
267,60011127,20230131,0.0,0.0
268,60011128,20230131,0.0,0.0
269,60011147,20230131,0.0,0.0
270,60011220,20230131,0.0,0.0
271,60011225,20230131,0.0,0.0
272,60011253,20230131,0.0,0.0
273,60011277,20230131,0.0,0.0
274,60011292,20230131,0.0,0.0
275,60011294,20230131,0.0,1.0
276,60011299,20230131,0.0,0.0
277,60011307,20230131,0.0,0.0
278,60011331,20230131,0.0,0.0
279,60011372,20230131,0.0,0.0
280,60011375,20230131,0.0,0.0
281,60011382,20230131,0.0,0.0
282,60011383,20230131,0.0,0.0
283,60011394,20230131,0.0,0.0
284,60011395,20230131,0.0,0.0
285,60011479,20230131,0.0,0.0
286,60011519,20230131,0.0,0.0
287,60011520,20230131,0.0,0.0
288,60011529,20230131,0.0,0.0
289,60011561,20230131,0.0,0.0
290,60011562,20230131,0.0,0.0
291,60011576,20230131,0.0,0.0
292,60011582,20230131,0.0,0.0
293,60011631,20230131,0.0,0.0
294,60011633,20230131,0.0,0.0
295,60011683,20230131,0.0,0.0
296,60011691,20230131,0.0,0.0
297,60011716,20230131,0.0,0.0
298,60011752,20230131,0.0,0.0
299,60011775,20230131,0.0,0.0
300,60011794,20230131,0.0,0.0
301,60011799,20230131,0.0,0.0
302,60011813,20230131,0.0,0.0
303,60011835,20230131,0.0,0.0
304,60011862,20230131,0.0,0.0
305,60011863,20230131,0.0,0.0
306,60011871,20230131,0.0,0.0
307,60011880,20230131,0.0,0.0
308,60011908,20230131,0.0,0.0
309,60011915,20230131,0.0,0.0
310,60011925,20230131,0.0,0.0
311,60011927,20230131,0.0,0.0
312,60011939,20230131,0.0,0.0
313,60011945,20230131,0.0,0.0
314,60011946,20230131,0.0,0.0
315,60011951,20230131,0.0,0.0
316,60011952,20230131,0.0,0.0
317,60011958,20230131,0.0,0.0
318,60011971,20230131,0.0,0.0
319,60011973,20230131,0.0,0.0
320,60011975,20230131,0.0,0.0
321,60012003,20230131,0.0,0.0
322,60012011,20230131,0.0,0.0
323,60012017,20230131,0.0,0.0
324,60012018,20230131,0.0,0.0
325,60012035,20230131,0.0,0.0
326,60012036,20230131,0.0,0.0
327,60012043,20230131,0.0,0.0
328,60012048,20230131,0.0,0.0
329,60012054,20230131,0.0,0.0
330,60012081,20230131,0.0,1.0
331,60012092,20230131,0.0,0.0
332,60012128,20230131,0.0,0.0
333,60012134,20230131,0.0,0.0
334,60012150,20230131,0.0,0.0
335,60012163,20230131,0.0,0.0
336,60012169,20230131,0.0,0.0
337,60012180,20230131,0.0,0.0
338,60012225,20230131,0.0,0.0
339,60012230,20230131,0.0,0.0
340,60012232,20230131,0.0,0.0
341,60012247,20230131,0.0,0.0
342,60012256,20230131,0.0,2.0
343,60012269,20230131,0.0,0.0
344,60012281,20230131,0.0,0.0
345,60012287,20230131,0.0,0.0
346,60012312,20230131,0.0,0.0
347,60012338,20230131,0.0,0.0
348,60012388,20230131,0.0,0.0
349,60012389,20230131,0.0,0.0
350,60012392,20230131,0.0,0.0
351,60012402,20230131,0.0,0.0
352,60012418,20230131,0.0,0.0
353,60012429,20230131,0.0,0.0
354,60012433,20230131,0.0,0.0
355,60012479,20230131,0.0,0.0
356,60012485,20230131,0.0,0.0
357,60012533,20230131,0.0,0.0
358,60012534,20230131,0.0,0.0
359,60012540,20230131,0.0,0.0
360,60012545,20230131,0.0,0.0
361,60012548,20230131,0.0,0.0
362,60012551,20230131,0.0,0.0
363,60012563,20230131,0.0,0.0
364,60012573,20230131,0.0,0.0
365,60012619,20230131,0.0,1.0
366,60012624,20230131,0.0,0.0
367,60012686,20230131,0.0,0.0
368,60012689,20230131,0.0,0.0
369,60012700,20230131,0.0,0.0
370,60012703,20230131,0.0,0.0
371,60012709,20230131,0.0,0.0
372,60012735,20230131,0.0,0.0
373,60012749,20230131,0.0,0.0
374,60012789,20230131,0.0,0.0
375,60012920,20230131,0.0,0.0
376,60012932,20230131,0.0,0.0
377,60012970,20230131,0.0,0.0
378,60013013,20230131,0.0,0.0
379,60013028,20230131,0.0,1.0
380,60013036,20230131,0.0,0.0
381,60013104,20230131,0.0,0.0
382,60013141,20230131,0.0,0.0
383,60013144,20230131,0.0,0.0
384,60013206,20230131,0.0,0.0
385,60013222,20230131,0.0,0.0
386,60013337,20230131,0.0,0.0
387,60013398,20230131,0.0,1.0
388,60013430,20230131,0.0,0.0
389,60013438,20230131,0.0,0.0
390,60013462,20230131,0.0,0.0
391,60013502,20230131,0.0,0.0
392,60013628,20230131,0.0,0.0
393,60013689,20230131,0.0,0.0
394,60013725,20230131,0.0,0.0
395,60013734,20230131,0.0,0.0
396,60013890,20230131,0.0,0.0
397,60013928,20230131,0.0,0.0
398,60014000,20230131,0.0,0.0
399,60014005,20230131,0.0,0.0
400,60014027,20230131,0.0,0.0
401,60014118,20230131,0.0,0.0
402,60014226,20230131,0.0,0.0
403,60014232,20230131,0.0,0.0
404,60014270,20230131,0.0,0.0
405,60014332,20230131,0.0,0.0
406,60014424,20230131,0.0,1.0
407,60014462,20230131,-1.0,1.0
408,60014465,20230131,0.0,1.0
409,60014467,20230131,0.0,0.0
410,60014474,20230131,0.0,0.0
411,60014511,20230131,0.0,0.0
412,60014534,20230131,0.0,0.0
413,60014554,20230131,0.0,0.0
414,60014569,20230131,0.0,0.0
415,60014571,20230131,0.0,0.0
416,60014573,20230131,0.0,0.0
417,60014652,20230131,0.0,0.0
418,60014668,20230131,0.0,0.0
419,60014700,20230131,0.0,0.0
420,60014728,20230131,0.0,0.0
421,60014731,20230131,0.0,0.0
422,60014768,20230131,0.0,0.0
423,60014786,20230131,0.0,0.0
424,60014817,20230131,0.0,0.0
425,60014824,20230131,0.0,0.0
426,60014843,20230131,0.0,0.0
427,60014857,20230131,0.0,0.0
428,60014887,20230131,0.0,0.0
429,60014905,20230131,0.0,0.0
430,60014908,20230131,0.0,0.0
431,60014951,20230131,0.0,0.0
432,60014977,20230131,0.0,0.0
433,60014982,20230131,0.0,0.0
434,60015089,20230131,0.0,0.0
435,60015153,20230131,0.0,0.0
436,60015191,20230131,0.0,0.0
437,60015208,20230131,0.0,0.0
438,60015246,20230131,0.0,0.0
439,60015249,20230131,0.0,0.0
440,60015277,20230131,0.0,0.0
441,60015378,20230131,0.0,0.0
442,60015379,20230131,0.0,0.0
443,60015381,20230131,0.0,0.0
444,60015399,20230131,0.0,0.0
445,60015407,20230131,-1.0,0.0
446,60015415,20230131,0.0,0.0
447,60015429,20230131,0.0,0.0
448,60015441,20230131,0.0,0.0
449,60015446,20230131,0.0,0.0
450,60015449,20230131,0.0,0.0
451,60015524,20230131,0.0,0.0
452,60015532,20230131,0.0,0.0
453,60015545,20230131,0.0,0.0
454,60015584,20230131,0.0,0.0
455,60015587,20230131,0.0,0.0
456,60015628,20230131,0.0,0.0
457,60015655,20230131,0.0,0.0
458,60015682,20230131,0.0,0.0
459,60015683,20230131,0.0,0.0
460,60015695,20230131,0.0,0.0
461,60015698,20230131,0.0,0.0
462,60015713,20230131,0.0,1.0
463,60015744,20230131,0.0,0.0
464,60015749,20230131,0.0,0.0
465,60015756,20230131,0.0,0.0
466,60015807,20230131,0.0,0.0
467,60015808,20230131,0.0,0.0
468,60015813,20230131,0.0,0.0
469,60015831,20230131,0.0,0.0
470,60015906,20230131,0.0,0.0
471,60015915,20230131,0.0,0.0
472,60016003,20230131,0.0,0.0
473,60016048,20230131,0.0,0.0
474,60016088,20230131,0.0,0.0
475,60016208,20230131,0.0,0.0
476,60016221,20230131,0.0,0.0
477,60016222,20230131,0.0,0.0
478,60016243,20230131,0.0,0.0
479,60016244,20230131,0.0,0.0
480,60016279,20230131,0.0,0.0
481,60016286,20230131,0.0,1.0
482,60016298,20230131,0.0,0.0
483,60016302,20230131,0.0,0.0
484,60016324,20230131,0.0,0.0
485,60016348,20230131,0.0,0.0
486,60016349,20230131,0.0,0.0
487,60016351,20230131,0.0,0.0
488,60016432,20230131,0.0,0.0
489,60016434,20230131,0.0,0.0
490,60016451,20230131,0.0,0.0
491,60016467,20230131,0.0,0.0
492,60016504,20230131,0.0,0.0
493,60016505,20230131,0.0,0.0
494,60016512,20230131,0.0,0.0
495,60016557,20230131,0.0,1.0
496,60016602,20230131,0.0,0.0
497,60016625,20230131,0.0,0.0
498,60016689,20230131,0.0,0.0
499,60016698,20230131,0.0,0.0
500,60016700,20230131,0.0,0.0
501,60016711,20230131,0.0,0.0
502,60016715,20230131,0.0,0.0
503,60016719,20230131,0.0,0.0
504,60016725,20230131,0.0,0.0
505,60016730,20230131,0.0,0.0
506,60016745,20230131,0.0,0.0
507,60016764,20230131,0.0,1.0
508,60016778,20230131,0.0,0.0
509,60016889,20230131,0.0,0.0
510,60016893,20230131,0.0,0.0
511,60016900,20230131,0.0,0.0
512,60016911,20230131,0.0,0.0
513,60016924,20230131,0.0,0.0
514,60016930,20230131,0.0,0.0
515,60016945,20230131,0.0,0.0
516,60016963,20230131,0.0,0.0
517,60016969,20230131,0.0,0.0
518,60016973,20230131,0.0,0.0
519,60016979,20230131,0.0,0.0
520,60016983,20230131,0.0,0.0
521,60016991,20230131,0.0,0.0
522,60016997,20230131,0.0,0.0
523,60017004,20230131,0.0,0.0
524,60017014,20230131,0.0,0.0
525,60017024,20230131,0.0,0.0
526,60017064,20230131,0.0,0.0
527,60017069,20230131,0.0,0.0
528,60017116,20230131,0.0,0.0
529,60017184,20230131,0.0,0.0
530,60017205,20230131,0.0,0.0
531,60017267,20230131,0.0,0.0
532,60017283,20230131,0.0,0.0
533,60017310,20230131,0.0,0.0
534,60017312,20230131,0.0,0.0
535,60017320,20230131,0.0,0.0
536,60017321,20230131,0.0,0.0
537,60017326,20230131,0.0,0.0
538,60017340,20230131,0.0,0.0
539,60017373,20230131,0.0,0.0
540,60017374,20230131,0.0,0.0
541,60017375,20230131,0.0,0.0
542,60017377,20230131,0.0,0.0
543,60017384,20230131,0.0,0.0
544,60017388,20230131,0.0,0.0
545,60017401,20230131,0.0,0.0
546,60017405,20230131,0.0,0.0
547,60017416,20230131,0.0,0.0
548,60017429,20230131,0.0,0.0
549,60017439,20230131,0.0,0.0
550,60017450,20230131,0.0,0.0
551,60017459,20230131,0.0,0.0
552,60017464,20230131,0.0,0.0
553,60017467,20230131,0.0,0.0
554,60017468,20230131,0.0,0.0
555,60017473,20230131,0.0,0.0
556,60017514,20230131,0.0,0.0
557,60017518,20230131,0.0,0.0
558,60017548,20230131,0.0,0.0
559,60017592,20230131,0.0,0.0
560,60017597,20230131,0.0,0.0
561,60017598,20230131,0.0,0.0
562,60017616,20230131,0.0,0.0
563,60017642,20230131,0.0,0.0
564,60017698,20230131,0.0,0.0
565,60017708,20230131,0.0,0.0
566,60017711,20230131,0.0,0.0
567,60017713,20230131,0.0,0.0
568,60017716,20230131,0.0,0.0
569,60017720,20230131,0.0,0.0
570,60017732,20230131,0.0,0.0
571,60017769,20230131,0.0,0.0
572,60017777,20230131,0.0,0.0
573,60017785,20230131,0.0,0.0
574,60017786,20230131,0.0,0.0
575,60017796,20230131,0.0,0.0
576,60017827,20230131,0.0,0.0
577,60017833,20230131,0.0,0.0
578,60017835,20230131,0.0,0.0
579,60017843,20230131,0.0,0.0
580,60017867,20230131,0.0,0.0
581,60017918,20230131,0.0,0.0
582,60017922,20230131,0.0,0.0
583,60017924,20230131,0.0,0.0
584,60017980,20230131,0.0,0.0
585,60017993,20230131,0.0,0.0
586,60018006,20230131,0.0,0.0
587,60018008,20230131,0.0,0.0
588,60018009,20230131,0.0,0.0
589,60018011,20230131,0.0,0.0
590,60018018,20230131,0.0,0.0
591,60018026,20230131,0.0,0.0
592,60018029,20230131,0.0,0.0
593,60018030,20230131,0.0,1.0
594,60018031,20230131,0.0,0.0
595,60018039,20230131,0.0,0.0
596,60018053,20230131,0.0,0.0
597,60018068,20230131,0.0,0.0
598,60018115,20230131,0.0,0.0
599,60018132,20230131,0.0,0.0
600,60018133,20230131,0.0,0.0
601,60018138,20230131,0.0,0.0
602,60018139,20230131,0.0,0.0
603,60018140,20230131,0.0,0.0
604,60018143,20230131,0.0,0.0
605,60018144,20230131,0.0,0.0
606,60018205,20230131,0.0,0.0
607,60018211,20230131,0.0,0.0
608,60018215,20230131,0.0,0.0
609,60018218,20230131,0.0,0.0
610,60018271,20230131,0.0,0.0
611,60018301,20230131,0.0,0.0
612,60018341,20230131,0.0,0.0
613,60018353,20230131,0.0,0.0
614,60018367,20230131,0.0,0.0
615,60018371,20230131,0.0,0.0
616,60018385,20230131,0.0,0.0
617,60018388,20230131,0.0,0.0
618,60018453,20230131,0.0,0.0
619,60018465,20230131,0.0,0.0
