,Policy No,Count_Policy
0,80000040,
1,80000046,
2,80000065,
3,80000013,
4,80000071,
5,80000072,
6,80000218,
7,80000973,
8,80000199,
9,80000098,
10,80000288,
11,80000362,
12,80000363,
13,80000364,
14,80000229,
15,80000265,
16,80000267,
17,80000160,
18,80000239,
19,80000240,
20,80000096,
21,80000106,
22,80000107,
23,80000164,
24,80000174,
25,80000175,
26,80000378,
27,80000379,
28,80000205,
29,80000220,
30,80000235,
31,80000234,
32,80000400,
33,80000124,
34,80000191,
35,80000225,
36,80000226,
37,80000401,
38,80000211,
39,80000032,
40,80000063,
41,80000116,
42,80000207,
43,80000261,
44,80000262,
45,80000266,
46,80000273,
47,80000347,
48,80000348,
49,80000349,
50,80000353,
51,80000354,
52,80000365,
53,80000366,
54,80000534,
55,80000396,
56,80000397,
57,80000260,
58,80000316,
59,80000320,
60,80000352,
61,80000304,
62,80000359,
63,80000870,
64,80000319,
65,80000430,
66,80000910,
67,80000388,
68,80000403,
69,80000457,
70,80000492,
71,80000550,
72,80000854,
73,80000855,
74,80000436,
75,80000418,
76,80000520,
77,80000704,
78,80000792,
79,80000892,
80,80000956,
81,80000957,
82,80000964,
83,80001182,
84,80001183,
85,80001231,
86,80001582,
87,80001600,
88,80000637,
89,80001217,
90,80000917,
91,80000389,
92,80000398,
93,80000414,
94,80000442,
95,80000450,
96,80000578,
97,80000601,
98,80000626,
99,80000642,
100,80000678,
101,80000445,
102,80000554,
103,80000644,
104,80000427,
105,80000525,
106,80000527,
107,80000528,
108,80000832,
109,80001285,
110,80000380,
111,80000384,
112,80000386,
113,80000390,
114,80000391,
115,80000392,
116,80000393,
117,80000441,
118,80000451,
119,80000530,
120,80000557,
121,80000558,
122,80000565,
123,80000566,
124,80000668,
125,80000679,
126,80000727,
127,80000808,
128,80001021,
129,80001039,
130,80001092,
131,80001468,
132,80001472,
133,80001673,
134,80001791,
135,80001822,0.0
136,80001847,
137,80001919,
138,80002089,
139,80002594,
140,80003134,
141,80003137,
142,80003140,
143,80003149,
144,80003453,
145,80003454,
146,80003493,
147,80003540,
148,80003562,
149,80003563,
150,80003812,
151,80003842,
152,80003846,
153,80003848,
154,80004077,
155,80004078,
156,80004153,
157,80004176,
158,80004192,
159,80004512,
160,80004531,
161,80004802,
162,80004842,
163,80004897,
164,80005177,
165,80005182,
166,80005722,
167,80006050,
168,80000399,
169,80000577,
170,80000614,
171,80000615,
172,80000619,
173,80000622,
174,80000638,
175,80000785,
176,80001495,
177,80000456,
178,80000145,
179,80000149,
180,80000197,
181,80000395,
182,80000143,
183,80000163,
184,80000173,
185,80000194,
186,80000308,
187,80000328,
188,80000421,
189,80000426,
190,80000485,
191,80000489,
192,80000507,
193,80000585,
194,80000617,
195,80000437,
196,80000502,
197,80000526,
198,80000531,
199,80000549,
200,80000656,
201,80000444,
202,80000629,
203,80000434,
204,80000435,
205,80000458,
206,80000459,
207,80000519,
208,80000521,
209,80000533,
210,80000645,
211,80000658,
212,80000659,
213,80000971,
214,80001243,
215,80000532,
216,80000420,
217,80000463,
218,80000488,
219,80000497,
220,80000505,
221,80000620,
222,80000720,
223,80000774,
224,80000775,
225,80000852,
226,80000904,
227,80000927,
228,80001272,
229,80001504,
230,80001521,
231,80001526,
232,80001635,
233,80002337,
234,80002422,
235,80000633,
236,80000643,
237,80000856,
238,80000482,
239,80000068,
240,80000101,
241,80000102,
242,80000135,
243,80000165,
244,80000169,
245,80000176,
246,80000469,
247,80000470,
248,80000472,
249,80000506,
250,80000600,
251,80000604,
252,80000606,
253,80000609,
254,80000610,
255,80001214,
256,80001228,
257,80001230,
258,80001552,
259,80001557,
260,80001609,
