,Policy No,Topup Premium,TopupForFYP
0,80000077,0.0,0.0
1,80000089,0.0,0.0
2,80000222,0.0,0.0
3,80000292,0.0,0.0
4,80000301,0.0,0.0
5,80000302,0.0,0.0
6,80000483,0.0,0.0
7,80000540,0.0,0.0
8,80000703,0.0,0.0
9,80000714,0.0,0.0
10,80000715,0.0,0.0
11,80000716,0.0,0.0
12,80000717,0.0,0.0
13,80000718,0.0,0.0
14,80000719,0.0,0.0
15,80000724,0.0,0.0
16,80000742,0.0,0.0
17,80000743,0.0,0.0
18,80000744,0.0,0.0
19,80000813,0.0,0.0
20,80001577,0.0,0.0
21,80001708,0.0,0.0
22,80001717,0.0,0.0
23,80001742,0.0,0.0
24,80001778,0.0,0.0
25,80001783,0.0,0.0
26,80001800,0.0,0.0
27,80001809,0.0,0.0
28,80001822,0.0,0.0
29,80001833,0.0,0.0
30,80001844,0.0,0.0
31,80001890,0.0,0.0
32,80001928,0.0,0.0
33,80003280,0.0,0.0
34,80003805,0.0,0.0
35,80003926,0.0,0.0
36,80004131,0.0,0.0
37,80004202,0.0,0.0
38,80004222,0.0,0.0
39,80004279,0.0,0.0
40,80004779,0.0,0.0
41,80004859,0.0,0.0
42,80005960,0.0,0.0
43,80006251,0.0,0.0
44,80006653,0.0,0.0
45,80007148,3125000.0,312500.0
46,80007320,0.0,0.0
47,80007334,0.0,0.0
48,80007343,0.0,0.0
49,80007383,0.0,0.0
50,80007421,0.0,0.0
51,80007425,0.0,0.0
52,80007775,1019000.0,101900.0
53,80007866,0.0,0.0
54,80007897,190000.0,19000.0
55,80007938,0.0,0.0
56,80007951,1490000.0,149000.0
57,80007968,0.0,0.0
58,80007974,0.0,0.0
59,80008007,0.0,0.0
60,80008246,0.0,0.0
61,80008345,0.0,0.0
62,80008356,0.0,0.0
63,80008357,0.0,0.0
64,80008573,0.0,0.0
65,80008668,0.0,0.0
66,80008810,0.0,0.0
67,80008909,0.0,0.0
68,80008991,2753000.0,275300.0
69,80009001,0.0,0.0
70,80009005,0.0,0.0
71,80009045,2589000.0,258900.0
72,80009046,0.0,0.0
73,80009047,0.0,0.0
74,80009062,0.0,0.0
75,80009078,0.0,0.0
76,80009079,0.0,0.0
77,80009081,0.0,0.0
78,80009093,0.0,0.0
79,80009094,0.0,0.0
80,80009095,0.0,0.0
81,80009096,2125000.0,212500.0
82,80009098,2895000.0,289500.0
83,80009101,0.0,0.0
84,80009112,0.0,0.0
85,80009114,0.0,0.0
86,80009115,304000.0,30400.0
87,80009116,0.0,0.0
88,80009127,0.0,0.0
89,80009143,1000000.0,100000.0
90,80009153,0.0,0.0
91,80009187,0.0,0.0
92,80009194,5053000.0,505300.0
93,80009204,0.0,0.0
94,80009210,0.0,0.0
95,80009216,0.0,0.0
96,80009236,9418000.0,941800.0
97,80009238,1320000.0,132000.0
98,80009239,0.0,0.0
99,80009245,0.0,0.0
100,80009254,2555000.0,255500.0
101,80009267,0.0,0.0
102,80009276,0.0,0.0
103,80009285,0.0,0.0
104,80009314,4708000.0,470800.0
105,80009318,2072000.0,207200.0
106,80009323,1967000.0,196700.0
107,80009355,2577000.0,257700.0
108,80009356,0.0,0.0
109,80009385,0.0,0.0
110,80009388,5622000.0,562200.0
111,80009420,0.0,0.0
112,80009449,0.0,0.0
113,80009450,0.0,0.0
114,80009460,0.0,0.0
115,80009465,0.0,0.0
116,80009505,0.0,0.0
117,80009506,0.0,0.0
118,80009529,0.0,0.0
119,80009534,0.0,0.0
120,80009537,0.0,0.0
121,80009550,0.0,0.0
122,80009553,0.0,0.0
123,80009589,3220000.0,322000.0
124,80009590,0.0,0.0
125,80009604,1168000.0,116800.0
126,80009622,3432000.0,343200.0
127,80009627,0.0,0.0
128,80009643,6371000.0,637100.0
129,80009654,0.0,0.0
130,80009658,0.0,0.0
131,80009659,0.0,0.0
132,80009676,0.0,0.0
133,80010189,965000.0,96500.0
134,80010419,1560000.0,156000.0
135,80010911,0.0,0.0
136,80010931,0.0,0.0
137,80011089,0.0,0.0
138,80011327,0.0,0.0
139,80011453,0.0,0.0
140,80011525,0.0,0.0
141,80011526,0.0,0.0
142,80011588,0.0,0.0
143,80011600,2632000.0,263200.0
144,80011696,2594000.0,259400.0
145,80011735,1560000.0,156000.0
146,80011747,0.0,0.0
147,80011879,0.0,0.0
148,80012048,15845000.0,1584500.0
149,80012049,1132000.0,113200.0
150,80012372,0.0,0.0
151,80012373,0.0,0.0
152,80012384,0.0,0.0
153,80012460,1442000.0,144200.0
154,80012477,0.0,0.0
155,80012495,0.0,0.0
156,80012533,0.0,0.0
157,80012542,0.0,0.0
158,80012569,1898000.0,189800.0
159,80012630,888000.0,88800.0
160,80012642,1824000.0,182400.0
161,80012772,0.0,0.0
162,80013020,3302000.0,330200.0
163,80013056,0.0,0.0
164,80013130,0.0,0.0
165,80013293,0.0,0.0
166,80013294,0.0,0.0
167,80013318,5530000.0,553000.0
168,80013319,3428000.0,342800.0
169,80013320,3054000.0,305400.0
170,80013326,4352000.0,435200.0
171,80013330,0.0,0.0
172,80013408,0.0,0.0
173,80013409,0.0,0.0
174,80013433,3758000.0,375800.0
175,80013434,0.0,0.0
176,80013458,756000.0,75600.0
177,80013487,0.0,0.0
178,80013488,0.0,0.0
179,80013490,5388000.0,538800.0
180,80013492,4603000.0,460300.0
181,80013506,3070000.0,307000.0
182,80013523,4326000.0,432600.0
183,80013541,0.0,0.0
184,80013579,0.0,0.0
185,80013585,0.0,0.0
186,80013697,0.0,0.0
187,80013800,0.0,0.0
188,80013860,288000.0,28800.0
189,80013911,0.0,0.0
190,80014009,0.0,0.0
191,80014014,0.0,0.0
192,80014028,0.0,0.0
193,80014068,0.0,0.0
194,80014073,1174000.0,117400.0
195,80014076,0.0,0.0
196,80015426,0.0,0.0
197,80015443,0.0,0.0
198,80015458,0.0,0.0
199,80015934,0.0,0.0
200,80016000,0.0,0.0
201,80016541,0.0,0.0
202,80016698,0.0,0.0
203,80016823,0.0,0.0
204,80016935,0.0,0.0
205,80016979,2676000.0,267600.0
206,80017030,0.0,0.0
207,80017047,0.0,0.0
208,80017070,0.0,0.0
209,80017138,0.0,0.0
210,80017139,0.0,0.0
211,80017155,0.0,0.0
212,80017158,0.0,0.0
213,80017160,0.0,0.0
214,80017166,0.0,0.0
215,80017169,0.0,0.0
216,80017219,0.0,0.0
217,80017221,6862000.0,686200.0
218,80017225,8052000.0,805200.0
219,80017227,1467000.0,146700.0
220,80017238,1858000.0,185800.0
221,80017239,0.0,0.0
222,80017252,0.0,0.0
223,80017263,0.0,0.0
224,80017272,1977000.0,197700.0
225,80017284,0.0,0.0
226,80017316,2416000.0,241600.0
227,80017330,0.0,0.0
228,80017337,0.0,0.0
229,80017346,0.0,0.0
230,80017363,0.0,0.0
231,80017365,0.0,0.0
232,80017388,0.0,0.0
233,80017389,0.0,0.0
234,80017459,0.0,0.0
235,80017468,0.0,0.0
236,80017472,0.0,0.0
237,80017495,0.0,0.0
238,80017501,0.0,0.0
239,80017520,0.0,0.0
240,80017522,0.0,0.0
241,80017547,0.0,0.0
242,80017618,0.0,0.0
243,80017619,0.0,0.0
244,80017644,2153000.0,215300.0
245,80017645,0.0,0.0
