,Issuing Agent,Policy No,CUTOFF,Count_Policy
464,60031386,80101599,20230131,0
465,60021718,80053657,20230131,0
466,60074988,80131593,20230131,1
508,60075288,80131545,20230131,1
517,60023400,80053510,20230131,0
518,60029413,80098845,20230131,0
519,60074208,80131664,20230131,1
521,60068331,80132957,20230131,1
560,60014887,80034514,20230131,0
561,60074147,80131685,20230131,1
564,60031598,80068081,20230131,0
573,60054604,80101870,20230131,0
574,60023463,80067284,20230131,0
614,60037648,80072825,20230131,0
620,60019678,80071906,20230131,0
621,60006677,80131949,20230131,1
625,60017514,80034205,20230131,0
626,60042706,80131907,20230131,1
669,60076076,80132279,20230131,1
670,60023890,80055657,20230131,0
673,60052986,80132989,20230131,1
677,60076137,80133020,20230131,1
718,60071341,80132250,20230131,1
719,60076102,80132904,20230131,1
725,60028663,80068123,20230131,0
729,60021262,80102635,20230131,0
733,60072767,80132739,20230131,1
734,60006003,80025403,20230131,0
735,60073372,80132753,20230131,1
749,60031910,80066774,20230131,0
771,60033680,80071207,20230131,0
1050,60054979,80101777,20230131,0
1161,60022216,80066731,20230131,0
1162,60032509,80069278,20230131,0
1224,60067517,80127881,20230131,-1
1230,60023039,80053957,20230131,0
1231,60015441,80096383,20230131,0
1242,60021374,80054831,20230131,0
1267,60029221,80066745,20230131,0
1269,60052382,80101949,20230131,0
1272,60059617,80131831,20230131,1
1295,60018009,80035668,20230131,0
1296,60025685,80072280,20230131,0
1302,60041545,80084758,20230131,0
1304,60017716,80037275,20230131,0
1309,60014270,80028534,20230131,0
1310,60053352,80102130,20230131,0
1319,60028292,80097414,20230131,0
1320,60033308,80071961,20230131,0
1322,60019309,80037299,20230131,0
1323,60045633,80101781,20230131,0
1349,60008436,80019424,20230131,0
1385,60023220,80052547,20230131,0
1386,60072387,80131611,20230131,1
1389,60074070,80131640,20230131,1
1405,60029661,80126093,20230131,-1
1409,60012092,80019304,20230131,0
1410,60012312,80019648,20230131,0
1415,60030459,80072924,20230131,0
1417,60016698,80033750,20230131,0
1455,60071391,80131514,20230131,1
1465,60019994,80072141,20230131,0
1467,60017777,80032702,20230131,0
1468,60028650,80068764,20230131,0
1487,60075343,80131462,20230131,1
1492,60075343,80131462,20230131,-1
1494,60017711,80032743,20230131,0
1496,60026140,80059495,20230131,0
1521,60055935,80131791,20230131,1
1536,60032888,80067518,20230131,0
1573,60055929,80131549,20230131,1
1583,60049885,80101554,20230131,0
1588,60007717,80055843,20230131,0
1598,60023144,80055616,20230131,0
1602,60012534,80019602,20230131,0
1607,60047933,80101712,20230131,0
1608,69999972,80000742,20230131,0
1609,60015524,80066711,20230131,0
1613,60056108,80116713,20230131,0
1614,60027589,80061424,20230131,0
1615,60053541,80103253,20230131,0
1621,60054472,80132307,20230131,1
1625,60046368,80101192,20230131,0
1632,60032645,80101758,20230131,0
1648,60046812,80087673,20230131,0
1659,60034709,80072253,20230131,0
1661,60013013,80023450,20230131,0
1662,60017720,80069111,20230131,0
