,Issuing Agent,Base,Rider,%Rider/Base
0,60000482,1,3.0,3
1,60000717,1,3.0,3
2,60000727,3,7.0,2
3,60005660,1,4.0,4
4,60005897,1,5.0,5
5,60006440,1,0.0,0
6,60006677,2,6.0,3
7,60006754,1,2.0,2
8,60006786,1,3.0,3
9,60006894,3,21.0,7
10,60007708,3,5.0,2
11,60008296,1,8.0,8
12,60008469,1,4.0,4
13,60008543,1,2.0,2
14,60008776,1,7.0,7
15,60008927,4,31.0,8
16,60008928,1,3.0,3
17,60008930,2,7.0,4
18,60008936,3,18.0,6
19,60009490,1,1.0,1
20,60010297,1,10.0,10
21,60010957,1,0.0,0
22,60011294,1,4.0,4
23,60012081,1,4.0,4
24,60012256,2,16.0,8
25,60012619,1,0.0,0
26,60013028,1,3.0,3
27,60013398,1,4.0,4
28,60014424,1,2.0,2
29,60014462,2,2.0,1
30,60014465,1,4.0,4
31,60015713,1,4.0,4
32,60016286,1,3.0,3
33,60016557,2,2.0,1
34,60016764,1,4.0,4
35,60018030,1,4.0,4
36,60018668,1,5.0,5
37,60018907,1,0.0,0
38,60019410,1,3.0,3
39,60019707,1,4.0,4
40,60020269,1,0.0,0
41,60020975,1,3.0,3
42,60021978,1,3.0,3
43,60022202,1,8.0,8
44,60022359,1,7.0,7
45,60023705,1,7.0,7
46,60023717,1,3.0,3
47,60024304,2,13.0,6
48,60024325,3,13.0,4
49,60025234,2,0.0,0
50,60025381,1,3.0,3
51,60026111,2,8.0,4
52,60026119,1,3.0,3
53,60026306,1,5.0,5
54,60026561,1,18.0,18
55,60027377,1,4.0,4
56,60027443,1,10.0,10
57,60027488,1,3.0,3
58,60027952,1,3.0,3
59,60028292,1,0.0,0
60,60028825,1,3.0,3
61,60029166,1,6.0,6
62,60029659,1,12.0,12
63,60030705,1,6.0,6
64,60031379,1,0.0,0
65,60031413,2,7.0,4
66,60031631,1,5.0,5
67,60031635,1,10.0,10
68,60031799,1,3.0,3
69,60031969,1,10.0,10
70,60032008,1,0.0,0
71,60032225,2,13.0,6
72,60032280,1,5.0,5
73,60032290,1,3.0,3
74,60032759,1,10.0,10
75,60032816,1,6.0,6
76,60032916,6,12.0,2
77,60033378,1,7.0,7
78,60033469,1,6.0,6
79,60033545,1,5.0,5
80,60033700,1,2.0,2
81,60033716,1,4.0,4
82,60033881,1,5.0,5
83,60033888,1,2.0,2
84,60034834,1,10.0,10
85,60034836,1,8.0,8
86,60035181,2,10.0,5
87,60035726,2,9.0,4
88,60036556,2,3.0,2
89,60037363,1,4.0,4
90,60037497,1,5.0,5
91,60037686,1,3.0,3
92,60038082,1,5.0,5
93,60038641,1,5.0,5
94,60038737,1,5.0,5
95,60038818,5,0.0,0
96,60039194,1,5.0,5
97,60039270,3,19.0,6
98,60039283,1,10.0,10
99,60039572,1,4.0,4
100,60039717,1,8.0,8
101,60040261,1,4.0,4
102,60040745,1,3.0,3
103,60040902,2,9.0,4
104,60040986,1,13.0,13
105,60041262,1,3.0,3
106,60041302,2,7.0,4
107,60041544,1,3.0,3
108,60041658,2,9.0,4
109,60041662,1,5.0,5
110,60041981,2,4.0,2
111,60042136,2,7.0,4
112,60042706,1,0.0,0
113,60042773,3,4.0,1
114,60043211,1,3.0,3
115,60043918,2,4.0,2
116,60043923,1,2.0,2
117,60043999,1,3.0,3
118,60044555,1,0.0,0
119,60045305,1,4.0,4
120,60045689,1,0.0,0
121,60045840,1,4.0,4
122,60045858,1,1.0,1
123,60046214,3,23.0,8
124,60046238,1,4.0,4
125,60046818,1,4.0,4
126,60047037,1,3.0,3
127,60047405,2,23.0,12
128,60047641,1,4.0,4
129,60049221,1,4.0,4
130,60049228,1,0.0,0
131,60049525,1,4.0,4
132,60050224,1,3.0,3
133,60050232,1,5.0,5
134,60050279,1,2.0,2
135,60050927,2,6.0,3
136,60051313,1,6.0,6
137,60051314,1,4.0,4
138,60051584,1,5.0,5
139,60051627,1,4.0,4
140,60051895,1,4.0,4
141,60052090,1,4.0,4
142,60052430,1,1.0,1
143,60052646,1,10.0,10
144,60052952,1,4.0,4
145,60052986,2,7.0,4
146,60052995,1,3.0,3
147,60053045,3,22.0,7
148,60053047,1,14.0,14
149,60053352,1,6.0,6
150,60053972,2,6.0,3
151,60053993,1,0.0,0
152,60054127,2,0.0,0
153,60054187,1,0.0,0
154,60054266,1,7.0,7
155,60054472,1,2.0,2
156,60054473,1,2.0,2
157,60054476,1,1.0,1
158,60054478,1,2.0,2
159,60055010,1,10.0,10
160,60055095,1,3.0,3
161,60055101,1,0.0,0
162,60055137,1,4.0,4
163,60055261,1,2.0,2
164,60055323,1,3.0,3
165,60055379,2,2.0,1
166,60055614,1,0.0,0
167,60055623,1,1.0,1
168,60055648,1,3.0,3
169,60055816,3,12.0,4
170,60055891,1,1.0,1
171,60055919,2,1.0,0
172,60055929,7,15.0,2
173,60055930,1,1.0,1
174,60055932,1,3.0,3
175,60055933,5,15.0,3
176,60055934,2,8.0,4
177,60055935,1,4.0,4
178,60055936,1,0.0,0
179,60055939,1,3.0,3
180,60055940,1,3.0,3
181,60055972,2,7.0,4
182,60056020,1,3.0,3
183,60056091,2,1.0,0
184,60056176,1,5.0,5
185,60056187,2,6.0,3
186,60056210,1,2.0,2
187,60056221,1,1.0,1
188,60056240,2,19.0,10
189,60056249,2,2.0,1
190,60056290,1,0.0,0
191,60056393,1,1.0,1
192,60056582,1,3.0,3
193,60056693,1,2.0,2
194,60056695,1,3.0,3
195,60056698,1,3.0,3
196,60056857,1,3.0,3
197,60056908,1,7.0,7
198,60056936,1,2.0,2
199,60056959,1,3.0,3
200,60056974,1,1.0,1
201,60056991,1,0.0,0
202,60056992,1,1.0,1
203,60056997,1,1.0,1
204,60056998,1,1.0,1
205,60056999,1,1.0,1
206,60057000,1,1.0,1
207,60057048,1,0.0,0
208,60057050,1,1.0,1
209,60057063,1,8.0,8
210,60057169,2,2.0,1
211,60057170,1,1.0,1
212,60057279,1,1.0,1
213,60057288,1,2.0,2
214,60057289,1,2.0,2
215,60057290,6,19.0,3
216,60057331,5,14.0,3
217,60057335,3,1.0,0
218,60057336,1,1.0,1
219,60057342,1,0.0,0
