,AGENT NO,PY2,RYC,%Bonus,Bonus RYC
0,60000481,1.0,,0.5,
1,60000482,0.7117,2544000.0,0.3,763200.0
2,60000717,0.5523,2424000.0,0.0,0.0
3,60000727,0.2841,1172000.0,0.0,0.0
4,60000823,0.4459,,0.0,
5,60001042,0.9548,151000.0,0.5,75500.0
6,60001255,0.753,62000.0,0.3,18600.0
7,60001457,1.0,2118000.0,0.5,1059000.0
8,60001479,1.0,149000.0,0.5,74500.0
9,60001894,0.0,10000.0,0.0,0.0
10,60002346,0.5006,,0.0,
11,60002709,0.0,,0.0,
12,60002860,0.4423,139000.0,0.0,0.0
13,60003396,0.0,,0.0,
14,60003412,0.5218,31000.0,0.0,0.0
15,60003905,0.0,8000.0,0.0,0.0
16,60004663,0.0,,0.0,
17,60004979,0.0,24000.0,0.0,0.0
18,60005229,0.4081,5779000.0,0.0,0.0
19,60005244,0.0,66000.0,0.0,0.0
20,60005252,0.1301,,0.0,
21,60005410,0.5399,80000.0,0.0,0.0
22,60005557,0.0,,0.0,
23,60005617,0.0,,0.0,
24,60005660,0.2516,,0.0,
25,60005897,1.0,836000.0,0.5,418000.0
26,60005947,1.0,85000.0,0.5,42500.0
27,60006440,0.0,,0.0,
28,60006513,0.0,,0.0,
29,60006562,0.5998,111000.0,0.0,0.0
30,60006569,1.0,300000.0,0.5,150000.0
31,60006677,1.0,1113000.0,0.5,556500.0
32,60006754,0.0,,0.0,
33,60006757,0.0,,0.0,
34,60006786,1.0,971000.0,0.5,485500.0
35,60006894,0.525,3080000.0,0.0,0.0
36,60006912,1.0,,0.5,
37,60006914,0.5023,133000.0,0.0,0.0
38,60007164,0.0,,0.0,
39,60007172,0.0,,0.0,
40,60007334,0.0,,0.0,
41,60007425,1.0,,0.5,
42,60007492,0.5043,165000.0,0.0,0.0
43,60007695,0.5696,,0.0,
44,60007707,0.0,,0.0,
45,60007708,1.0,,0.5,
46,60007709,0.0,,0.0,
47,60007710,0.7467,150000.0,0.3,45000.0
48,60007776,0.0,,0.0,
49,60007949,0.5,,0.0,
50,60008057,0.0,,0.0,
51,60008058,0.6388,,0.0,
52,60008296,0.6239,,0.0,
53,60008297,0.0,,0.0,
54,60008316,0.5,143000.0,0.0,0.0
55,60008331,0.0,,0.0,
56,60008440,0.0,903000.0,0.0,0.0
57,60008448,1.0,,0.5,
58,60008543,0.0,,0.0,
59,60008562,0.2504,,0.0,
60,60008564,0.7189,,0.3,
61,60008571,1.0,7000.0,0.5,3500.0
62,60008572,1.0,29000.0,0.5,14500.0
63,60008623,0.0,,0.0,
64,60008634,1.0,,0.5,
65,60008635,0.4965,,0.0,
66,60008851,0.0,,0.0,
67,60008927,1.0,,0.5,
68,60008928,0.8722,1301000.0,0.35,455350.0
69,60008930,0.6522,2022000.0,0.0,0.0
70,60008948,0.253,,0.0,
71,60008955,1.0,187000.0,0.5,93500.0
72,60009139,0.1095,1946000.0,0.0,0.0
73,60009202,1.0,,0.5,
74,60009316,0.5027,,0.0,
75,60009335,0.7321,860000.0,0.3,258000.0
76,60009361,0.0,,0.0,
77,60009423,0.0,,0.0,
78,60009424,0.0,,0.0,
79,60009435,1.0,,0.5,
80,60009481,0.0,2968000.0,0.0,0.0
81,60009490,0.0,1965000.0,0.0,0.0
82,60009597,0.8415,542000.0,0.35,189700.0
83,60009760,1.0,37000.0,0.5,18500.0
84,60009800,1.0,956000.0,0.5,478000.0
85,60009868,0.0,63000.0,0.0,0.0
86,60009873,0.7255,,0.3,
87,60009876,1.0,1146000.0,0.5,573000.0
88,60009895,0.0,217000.0,0.0,0.0
89,60009913,0.3893,,0.0,
90,60010034,0.0,,0.0,
91,60010448,0.0,,0.0,
92,60010691,0.3709,901000.0,0.0,0.0
93,60010694,0.0,,0.0,
94,60010957,1.0,37000.0,0.5,18500.0
95,60011112,1.0,,0.5,
96,60011202,1.0,,0.5,
97,60011371,1.0,,0.5,
98,60011552,0.0,,0.0,
99,60011623,1.0,,0.5,
100,60011699,0.0,,0.0,
101,60011803,1.0,,0.5,
102,60011898,0.0,99000.0,0.0,0.0
103,60011978,0.7606,107000.0,0.3,32100.0
104,60012011,1.0,405000.0,0.5,202500.0
105,60012017,1.0,,0.5,
106,60012082,0.0,,0.0,
107,60012169,1.0,166000.0,0.5,83000.0
108,60012256,0.2668,4349000.0,0.0,0.0
109,60012411,0.0645,869000.0,0.0,0.0
110,60012461,0.0,,0.0,
111,60012479,0.0,45000.0,0.0,0.0
112,60012619,0.0,,0.0,
113,60013100,0.0,,0.0,
114,60013141,0.0,,0.0,
115,60013338,0.0,279000.0,0.0,0.0
116,60013398,0.358,203000.0,0.0,0.0
117,60013462,1.0,,0.5,
118,60013734,0.3939,256000.0,0.0,0.0
119,60013841,0.0,,0.0,
120,60013918,1.0,,0.5,
121,60013952,0.652,,0.0,
122,60013965,0.0,,0.0,
123,60014027,0.5057,749000.0,0.0,0.0
124,60014311,0.9247,,0.5,
125,60014312,0.0,,0.0,
126,60014350,0.0,,0.0,
127,60014386,0.7821,583000.0,0.3,174900.0
128,60014424,0.5028,3255000.0,0.0,0.0
129,60014462,0.397,,0.0,
130,60014465,0.3753,32000.0,0.0,0.0
131,60014544,0.0,,0.0,
132,60014549,0.0,2981000.0,0.0,0.0
133,60014551,0.0,,0.0,
134,60014554,0.5025,,0.0,
135,60014569,0.7945,1294000.0,0.3,388200.0
136,60014571,0.8321,7425000.0,0.35,2598750.0
137,60014650,1.0,,0.5,
138,60014697,0.0,,0.0,
139,60014719,0.0,376000.0,0.0,0.0
140,60014768,0.814,1733000.0,0.35,606550.0
141,60014865,0.0,,0.0,
142,60014874,0.0,,0.0,
143,60014887,1.0,741000.0,0.5,370500.0
144,60014977,0.6154,2551000.0,0.0,0.0
145,60014987,0.4472,,0.0,
146,60015030,0.0527,705000.0,0.0,0.0
147,60015378,0.5798,1059000.0,0.0,0.0
148,60015407,0.1535,934000.0,0.0,0.0
149,60015441,0.0,4394000.0,0.0,0.0
150,60015449,0.8471,4752000.0,0.35,1663200.0
151,60015713,0.239,249000.0,0.0,0.0
152,60015741,0.0,174000.0,0.0,0.0
153,60015749,1.0,52000.0,0.5,26000.0
154,60015986,1.0,,0.5,
155,60016048,0.0,618000.0,0.0,0.0
156,60016088,0.5,887000.0,0.0,0.0
157,60016136,0.178,,0.0,
158,60016287,0.5979,82000.0,0.0,0.0
159,60016324,0.0,147000.0,0.0,0.0
160,60016339,0.0,,0.0,
161,60016557,0.6119,2043000.0,0.0,0.0
162,60016576,0.0,,0.0,
163,60016606,0.0,,0.0,
164,60016619,0.4948,1674000.0,0.0,0.0
165,60016689,0.0,,0.0,
166,60016696,1.0,,0.5,
167,60016778,0.0,,0.0,
168,60016781,0.0,,0.0,
169,60016841,0.0,,0.0,
170,60016851,1.0,,0.5,
171,60016900,0.9535,1884000.0,0.5,942000.0
172,60016992,1.0,,0.5,
173,60017318,0.0,,0.0,
174,60017349,1.0,,0.5,
175,60017392,0.5024,116000.0,0.0,0.0
176,60017444,0.502,771000.0,0.0,0.0
177,60017471,0.8074,,0.35,
178,60017694,1.0,,0.5,
179,60017698,0.4938,774000.0,0.0,0.0
180,60017718,0.0,576000.0,0.0,0.0
181,60017777,0.0,43000.0,0.0,0.0
182,60017795,0.7691,290000.0,0.3,87000.0
183,60018012,0.0,1531000.0,0.0,0.0
184,60018048,1.0,2016000.0,0.5,1008000.0
185,60018109,0.5152,,0.0,
186,60018193,1.0,,0.5,
187,60018215,0.0,,0.0,
188,60018406,1.0,,0.5,
189,60018438,0.0,,0.0,
190,60018453,0.0,53000.0,0.0,0.0
191,60018524,1.0,,0.5,
192,60018585,0.5176,,0.0,
193,60018591,0.0,,0.0,
194,60018668,0.1765,574000.0,0.0,0.0
195,60018798,0.2639,2448000.0,0.0,0.0
196,60018838,1.0,799000.0,0.5,399500.0
197,60018900,0.0,,0.0,
198,60018975,0.5023,,0.0,
199,60019093,0.0,51000.0,0.0,0.0
200,60019105,0.5954,13914000.0,0.0,0.0
201,60019288,1.0,,0.5,
202,60019410,0.2562,88000.0,0.0,0.0
203,60019512,1.0,225000.0,0.5,112500.0
204,60019618,0.0,,0.0,
205,60019755,0.5752,4388000.0,0.0,0.0
206,60019766,0.5039,,0.0,
207,60019795,1.0,513000.0,0.5,256500.0
208,60019802,0.0,578000.0,0.0,0.0
209,60019805,1.0,1827000.0,0.5,913500.0
210,60019872,1.0,173000.0,0.5,86500.0
211,60020075,1.0,13122000.0,0.5,6561000.0
212,60020151,0.1025,2042000.0,0.0,0.0
213,60020328,0.7373,2455000.0,0.3,736500.0
214,60020387,0.0739,3620000.0,0.0,0.0
215,60020414,0.0,,0.0,
216,60020444,1.0,1130000.0,0.5,565000.0
217,60020604,0.0,,0.0,
218,60020734,0.0,,0.0,
219,60020738,0.143,,0.0,
220,60020775,0.53,450000.0,0.0,0.0
221,60020779,0.5003,120000.0,0.0,0.0
222,60020834,0.0,,0.0,
223,60020953,1.0,1808000.0,0.5,904000.0
224,60020978,1.0,,0.5,
225,60020990,0.3218,,0.0,
226,60020993,1.0,,0.5,
227,60021044,0.5411,5254000.0,0.0,0.0
228,60021109,0.0,,0.0,
229,60021173,1.0,,0.5,
230,60021241,0.8264,,0.35,
231,60021257,0.0,1051000.0,0.0,0.0
232,60021309,0.5485,2460000.0,0.0,0.0
233,60021353,0.3139,1325000.0,0.0,0.0
234,60021354,0.5319,3335000.0,0.0,0.0
235,60021383,0.403,337000.0,0.0,0.0
236,60021390,1.0,,0.5,
237,60021470,0.1351,358000.0,0.0,0.0
238,60021471,0.4626,465000.0,0.0,0.0
239,60021479,0.5457,,0.0,
240,60021522,0.5743,1252000.0,0.0,0.0
241,60021537,1.0,,0.5,
242,60021548,1.0,,0.5,
243,60021569,0.35,,0.0,
244,60021572,0.4828,,0.0,
245,60021606,1.0,,0.5,
246,60021643,0.3612,,0.0,
247,60021654,1.0,,0.5,
248,60021670,1.0,,0.5,
249,60021743,0.0,,0.0,
250,60021768,0.3446,,0.0,
251,60021782,1.0,,0.5,
252,60021937,0.0,1523000.0,0.0,0.0
253,60021978,0.5879,417000.0,0.0,0.0
254,60022035,1.0,42000.0,0.5,21000.0
255,60022036,0.0,,0.0,
256,60022084,0.5789,1162000.0,0.0,0.0
257,60022134,1.0,,0.5,
258,60022202,0.9536,,0.5,
259,60022203,1.0,,0.5,
260,60022204,1.0,,0.5,
261,60022264,1.0,,0.5,
