,Issuing Agent,Policy No,POLICY ACKNOWLED,CC_Month
120618,60074051,80127819,2022-12-26,3
121127,60009490,80128167,2022-12-23,3
121129,60050224,80128169,2022-12-23,3
121152,60074510,80128189,2022-12-19,3
121154,60043846,80128191,2022-12-23,3
121156,60073788,80128193,2022-12-27,3
121158,60050221,80128195,2022-12-23,3
121178,60074474,80128210,2022-12-21,3
121189,60073788,80128218,2022-12-27,3
121251,60073255,80128823,2022-12-27,3
121286,60055151,80128836,2022-12-22,3
121288,60074462,80128838,2022-12-29,3
121294,60073255,80128845,2022-12-23,3
121300,60055151,80128851,2022-12-25,3
121301,60055151,80128852,2022-12-27,3
121305,60055151,80128857,2022-12-27,3
121315,60074125,80128492,2022-12-23,3
121333,60074111,80128510,2022-12-23,3
121335,60074648,80128512,2022-12-22,3
121474,60029166,80128270,2022-12-23,3
121485,60073827,80128534,2023-01-02,3
121604,60074035,80128875,2022-12-24,3
121713,60055151,80128902,2022-12-27,3
121735,60074472,80128116,2022-12-22,3
121742,60055151,80128903,2022-12-27,3
121744,60055151,80128905,2022-12-27,3
121759,60055151,80128594,2022-12-21,3
121765,60055151,80128908,2022-12-27,3
121770,60055151,80128597,2022-12-22,3
121798,60055151,80128616,2022-12-21,3
121799,60074515,80128617,2022-12-30,3
121808,60074599,80128626,2022-12-23,3
121815,60074208,80128315,2022-12-19,3
121831,60074208,80128318,2022-12-19,3
121846,60055151,80128915,2022-12-27,3
121899,60074470,80128653,2022-12-23,3
121907,60074412,80128927,2022-12-22,3
121909,60074808,80128929,2022-12-23,3
121921,60055151,80128657,2022-12-21,3
121951,60074762,80128940,2023-01-09,3
121954,60009490,80128943,2022-12-30,3
121960,60074214,80128945,2022-12-23,3
121962,60074808,80128947,2022-12-22,3
121978,60074991,80128951,2022-12-27,3
121979,60074762,80128952,2023-01-09,3
121982,60074214,80128955,2022-12-23,3
122007,60074807,80128960,2022-12-30,3
122010,60073255,80128673,2022-12-21,3
122038,60074807,80128963,2022-12-30,3
122043,60073306,80128968,2022-12-22,3
122051,60074266,80128677,2023-01-03,3
122052,60073255,80128678,2022-12-21,3
122053,60074602,80128679,2022-12-23,3
122063,60074510,80128381,2022-12-19,3
122071,60074602,80128683,2022-12-23,3
122072,60074448,80128684,2022-12-26,3
122074,60074479,80128973,2022-12-25,3
122079,60074125,80129612,2023-01-03,3
122095,60074754,80129617,2023-01-08,3
122099,60070720,80129619,2022-12-29,3
122103,60074598,80129214,2022-12-30,3
122106,60074686,80129624,2022-12-30,3
122111,60074550,80128690,2022-12-23,3
122112,60074596,80128691,2022-12-23,3
122114,60074550,80128693,2023-01-09,3
122135,60074455,80129217,2022-12-30,3
122139,60075200,80129632,2022-12-30,3
122143,60073255,80128701,2022-12-21,3
122194,60074600,80128714,2022-12-23,3
122196,60074596,80128716,2022-12-23,3
122199,60074118,80128395,2022-12-26,3
122202,60074798,80129644,2023-01-10,3
