,Servicing Agent,FYP_Final,FYC,%FYC_Bonus,Quarterly Bonus
6,60000482,40589000.0,8597000.0,0.05,429850.0
0,60000194,0.0,0.0,0.0,0.0
2330,60042839,174600.0,10000.0,0.0,0.0
2319,60042670,0.0,0.0,0.0,0.0
2320,60042720,0.0,0.0,0.0,0.0
2321,60042765,0.0,0.0,0.0,0.0
2322,60042773,-4105500.0,0.0,0.0,0.0
2323,60042780,0.0,0.0,0.0,0.0
2324,60042783,-1413100.0,0.0,0.0,0.0
2325,60042793,0.0,0.0,0.0,0.0
2326,60042797,0.0,48000.0,0.0,0.0
2327,60042798,0.0,0.0,0.0,0.0
2328,60042809,0.0,0.0,0.0,0.0
2329,60042823,0.0,0.0,0.0,0.0
2331,60042888,0.0,0.0,0.0,0.0
2317,60042549,0.0,0.0,0.0,0.0
2332,60042951,0.0,0.0,0.0,0.0
2333,60042980,0.0,0.0,0.0,0.0
2334,60043199,0.0,0.0,0.0,0.0
2335,60043234,0.0,0.0,0.0,0.0
2336,60043244,0.0,0.0,0.0,0.0
2337,60043294,0.0,0.0,0.0,0.0
2338,60043424,0.0,0.0,0.0,0.0
2339,60043492,0.0,0.0,0.0,0.0
2340,60043515,0.0,0.0,0.0,0.0
2341,60043596,0.0,0.0,0.0,0.0
2342,60043666,0.0,0.0,0.0,0.0
2318,60042623,0.0,0.0,0.0,0.0
2316,60042519,0.0,0.0,0.0,0.0
2344,60043681,0.0,0.0,0.0,0.0
2315,60042378,0.0,0.0,0.0,0.0
2292,60042045,0.0,0.0,0.0,0.0
2293,60042049,0.0,0.0,0.0,0.0
2294,60042102,0.0,0.0,0.0,0.0
2295,60042106,0.0,0.0,0.0,0.0
2296,60042109,0.0,0.0,0.0,0.0
2297,60042136,0.0,0.0,0.0,0.0
2298,60042157,0.0,0.0,0.0,0.0
2299,60042173,0.0,0.0,0.0,0.0
2300,60042175,0.0,0.0,0.0,0.0
2301,60042204,0.0,52000.0,0.0,0.0
2302,60042209,0.0,0.0,0.0,0.0
2303,60042261,0.0,0.0,0.0,0.0
2304,60042263,0.0,0.0,0.0,0.0
2305,60042276,0.0,0.0,0.0,0.0
2306,60042310,0.0,0.0,0.0,0.0
2307,60042324,0.0,0.0,0.0,0.0
2308,60042342,0.0,0.0,0.0,0.0
2309,60042369,0.0,0.0,0.0,0.0
2310,60042372,0.0,0.0,0.0,0.0
2311,60042373,0.0,0.0,0.0,0.0
2312,60042374,0.0,0.0,0.0,0.0
2313,60042375,0.0,0.0,0.0,0.0
2314,60042377,0.0,0.0,0.0,0.0
2343,60043676,0.0,0.0,0.0,0.0
2345,60043690,0.0,0.0,0.0,0.0
2290,60041995,0.0,0.0,0.0,0.0
2372,60044722,0.0,0.0,0.0,0.0
2374,60044803,0.0,0.0,0.0,0.0
2375,60044834,0.0,0.0,0.0,0.0
2376,60044885,0.0,0.0,0.0,0.0
2377,60044898,0.0,0.0,0.0,0.0
2378,60044939,0.0,0.0,0.0,0.0
2379,60044953,0.0,0.0,0.0,0.0
2380,60044958,0.0,0.0,0.0,0.0
2381,60044965,0.0,0.0,0.0,0.0
2382,60044999,0.0,0.0,0.0,0.0
2383,60045045,0.0,0.0,0.0,0.0
2384,60045056,0.0,0.0,0.0,0.0
2385,60045076,0.0,0.0,0.0,0.0
2386,60045078,0.0,0.0,0.0,0.0
2387,60045107,0.0,0.0,0.0,0.0
2388,60045108,0.0,0.0,0.0,0.0
2389,60045151,600.0,0.0,0.0,0.0
2390,60045276,8081000.0,2825000.0,0.0,0.0
2391,60045277,0.0,0.0,0.0,0.0
2392,60045305,0.0,0.0,0.0,0.0
2393,60045335,0.0,0.0,0.0,0.0
2394,60045403,0.0,0.0,0.0,0.0
2395,60045437,0.0,0.0,0.0,0.0
2396,60045492,-29949700.0,-10628000.0,0.0,-0.0
2373,60044752,0.0,0.0,0.0,0.0
2371,60044677,0.0,0.0,0.0,0.0
2346,60043785,0.0,0.0,0.0,0.0
2370,60044665,1880000.0,94000.0,0.0,0.0
2347,60043792,0.0,0.0,0.0,0.0
2348,60043824,0.0,0.0,0.0,0.0
2349,60043846,0.0,0.0,0.0,0.0
2350,60043923,0.0,0.0,0.0,0.0
2351,60043930,223700.0,0.0,0.0,0.0
2352,60044011,0.0,0.0,0.0,0.0
2353,60044102,0.0,0.0,0.0,0.0
2354,60044121,0.0,0.0,0.0,0.0
2355,60044127,0.0,0.0,0.0,0.0
2356,60044185,0.0,0.0,0.0,0.0
2357,60044187,0.0,0.0,0.0,0.0
2358,60044194,0.0,0.0,0.0,0.0
2359,60044249,0.0,0.0,0.0,0.0
2360,60044262,0.0,0.0,0.0,0.0
2361,60044305,0.0,0.0,0.0,0.0
2362,60044306,0.0,0.0,0.0,0.0
2363,60044331,434000.0,87000.0,0.0,0.0
2364,60044344,0.0,0.0,0.0,0.0
2365,60044353,0.0,0.0,0.0,0.0
2366,60044365,0.0,0.0,0.0,0.0
2367,60044382,0.0,0.0,0.0,0.0
2368,60044520,8600.0,0.0,0.0,0.0
2369,60044567,0.0,0.0,0.0,0.0
2291,60041996,0.0,0.0,0.0,0.0
2289,60041987,424000.0,64000.0,0.0,0.0
2398,60045502,0.0,0.0,0.0,0.0
2221,60040942,0.0,0.0,0.0,0.0
2210,60040662,0.0,0.0,0.0,0.0
2211,60040663,0.0,0.0,0.0,0.0
2212,60040666,0.0,0.0,0.0,0.0
2213,60040744,0.0,0.0,0.0,0.0
2214,60040745,636000.0,96000.0,0.0,0.0
2215,60040758,0.0,0.0,0.0,0.0
2216,60040781,0.0,0.0,0.0,0.0
2217,60040836,0.0,0.0,0.0,0.0
2218,60040840,0.0,0.0,0.0,0.0
2219,60040886,0.0,0.0,0.0,0.0
2220,60040899,0.0,0.0,0.0,0.0
2222,60040944,0.0,0.0,0.0,0.0
2288,60041986,0.0,0.0,0.0,0.0
2223,60040993,0.0,0.0,0.0,0.0
2224,60041018,0.0,0.0,0.0,0.0
2225,60041022,0.0,0.0,0.0,0.0
2226,60041064,0.0,0.0,0.0,0.0
2227,60041074,0.0,0.0,0.0,0.0
2228,60041082,0.0,0.0,0.0,0.0
2229,60041100,0.0,0.0,0.0,0.0
2230,60041166,0.0,0.0,0.0,0.0
2231,60041183,0.0,0.0,0.0,0.0
2232,60041192,0.0,0.0,0.0,0.0
2233,60041200,0.0,0.0,0.0,0.0
2209,60040538,0.0,0.0,0.0,0.0
2208,60040537,117000.0,6000.0,0.0,0.0
2207,60040535,0.0,0.0,0.0,0.0
2206,60040532,0.0,0.0,0.0,0.0
2183,60039886,0.0,0.0,0.0,0.0
2184,60039887,0.0,0.0,0.0,0.0
2185,60039913,0.0,0.0,0.0,0.0
2186,60039919,0.0,0.0,0.0,0.0
2187,60039939,0.0,0.0,0.0,0.0
2188,60040019,0.0,0.0,0.0,0.0
2189,60040158,0.0,0.0,0.0,0.0
2190,60040164,0.0,0.0,0.0,0.0
2191,60040176,0.0,0.0,0.0,0.0
2192,60040184,0.0,0.0,0.0,0.0
2193,60040209,0.0,0.0,0.0,0.0
2194,60040229,0.0,0.0,0.0,0.0
2195,60040261,0.0,0.0,0.0,0.0
2196,60040264,0.0,0.0,0.0,0.0
2197,60040336,0.0,0.0,0.0,0.0
2198,60040370,0.0,0.0,0.0,0.0
2199,60040378,0.0,0.0,0.0,0.0
2200,60040398,100100.0,0.0,0.0,0.0
2201,60040401,0.0,0.0,0.0,0.0
2202,60040406,0.0,0.0,0.0,0.0
2203,60040407,0.0,0.0,0.0,0.0
2204,60040447,0.0,0.0,0.0,0.0
2205,60040515,0.0,0.0,0.0,0.0
2234,60041206,0.0,0.0,0.0,0.0
2235,60041220,0.0,0.0,0.0,0.0
2236,60041228,115600.0,2014000.0,0.0,0.0
2263,60041545,0.0,0.0,0.0,0.0
2265,60041550,0.0,0.0,0.0,0.0
2266,60041562,0.0,0.0,0.0,0.0
2267,60041574,0.0,0.0,0.0,0.0
2268,60041604,0.0,0.0,0.0,0.0
2269,60041645,0.0,0.0,0.0,0.0
2270,60041648,0.0,0.0,0.0,0.0
2271,60041661,0.0,0.0,0.0,0.0
2272,60041662,0.0,0.0,0.0,0.0
2273,60041699,0.0,0.0,0.0,0.0
2274,60041700,0.0,0.0,0.0,0.0
2275,60041718,0.0,0.0,0.0,0.0
2276,60041738,0.0,0.0,0.0,0.0
2277,60041762,2900.0,0.0,0.0,0.0
2278,60041770,0.0,0.0,0.0,0.0
2279,60041775,0.0,0.0,0.0,0.0
2280,60041793,0.0,0.0,0.0,0.0
2281,60041803,0.0,0.0,0.0,0.0
2282,60041824,0.0,0.0,0.0,0.0
2283,60041825,0.0,0.0,0.0,0.0
2284,60041917,0.0,0.0,0.0,0.0
2285,60041930,0.0,0.0,0.0,0.0
2286,60041961,0.0,0.0,0.0,0.0
2287,60041963,0.0,0.0,0.0,0.0
2264,60041549,0.0,0.0,0.0,0.0
2262,60041544,1225800.0,0.0,0.0,0.0
2237,60041229,0.0,0.0,0.0,0.0
2261,60041534,0.0,0.0,0.0,0.0
2238,60041233,0.0,0.0,0.0,0.0
2239,60041236,0.0,0.0,0.0,0.0
2240,60041237,0.0,0.0,0.0,0.0
2241,60041240,0.0,0.0,0.0,0.0
2242,60041256,0.0,0.0,0.0,0.0
2243,60041262,0.0,0.0,0.0,0.0
2244,60041304,0.0,0.0,0.0,0.0
2245,60041308,0.0,0.0,0.0,0.0
2246,60041318,0.0,0.0,0.0,0.0
2247,60041330,0.0,0.0,0.0,0.0
2248,60041331,0.0,0.0,0.0,0.0
2249,60041338,0.0,0.0,0.0,0.0
2250,60041341,0.0,0.0,0.0,0.0
2251,60041374,0.0,0.0,0.0,0.0
2252,60041379,0.0,0.0,0.0,0.0
2253,60041383,0.0,0.0,0.0,0.0
2254,60041401,0.0,0.0,0.0,0.0
2255,60041473,0.0,0.0,0.0,0.0
2256,60041507,1103000.0,161000.0,0.0,0.0
2257,60041512,0.0,0.0,0.0,0.0
2258,60041521,0.0,2606000.0,0.0,0.0
2259,60041526,0.0,0.0,0.0,0.0
2260,60041532,423700.0,65000.0,0.0,0.0
2397,60045494,0.0,0.0,0.0,0.0
2399,60045513,0.0,0.0,0.0,0.0
2181,60039802,1217000.0,0.0,0.0,0.0
2547,60048462,0.0,0.0,0.0,0.0
2536,60048262,0.0,0.0,0.0,0.0
2537,60048335,0.0,0.0,0.0,0.0
2538,60048358,0.0,0.0,0.0,0.0
2539,60048364,0.0,0.0,0.0,0.0
2540,60048369,0.0,0.0,0.0,0.0
2541,60048373,30700.0,0.0,0.0,0.0
2542,60048377,0.0,0.0,0.0,0.0
2543,60048383,74200.0,0.0,0.0,0.0
2544,60048393,0.0,0.0,0.0,0.0
2545,60048402,0.0,0.0,0.0,0.0
2546,60048460,0.0,0.0,0.0,0.0
2548,60048467,0.0,0.0,0.0,0.0
2400,60045522,0.0,0.0,0.0,0.0
2549,60048469,26000.0,0.0,0.0,0.0
2550,60048487,0.0,0.0,0.0,0.0
2551,60048545,0.0,0.0,0.0,0.0
2552,60048561,0.0,0.0,0.0,0.0
2553,60048594,0.0,0.0,0.0,0.0
2554,60048651,0.0,0.0,0.0,0.0
2555,60048654,30000.0,0.0,0.0,0.0
2556,60048660,1464800.0,0.0,0.0,0.0
2557,60048685,0.0,0.0,0.0,0.0
2558,60048686,0.0,0.0,0.0,0.0
2559,60048715,0.0,0.0,0.0,0.0
2535,60048250,0.0,0.0,0.0,0.0
2534,60048242,0.0,0.0,0.0,0.0
2533,60048240,0.0,0.0,0.0,0.0
2532,60048233,0.0,0.0,0.0,0.0
2509,60047837,0.0,0.0,0.0,0.0
2510,60047849,0.0,0.0,0.0,0.0
2511,60047850,0.0,0.0,0.0,0.0
2512,60047904,0.0,0.0,0.0,0.0
2513,60047909,0.0,0.0,0.0,0.0
2514,60047920,0.0,0.0,0.0,0.0
2515,60047933,0.0,0.0,0.0,0.0
2516,60047942,0.0,0.0,0.0,0.0
2517,60047948,0.0,0.0,0.0,0.0
2518,60048021,0.0,0.0,0.0,0.0
2519,60048038,0.0,0.0,0.0,0.0
2520,60048043,0.0,0.0,0.0,0.0
2521,60048064,0.0,0.0,0.0,0.0
2522,60048087,0.0,0.0,0.0,0.0
2523,60048089,0.0,0.0,0.0,0.0
2524,60048100,0.0,0.0,0.0,0.0
2525,60048121,0.0,0.0,0.0,0.0
2526,60048151,0.0,0.0,0.0,0.0
2527,60048183,990800.0,101000.0,0.0,0.0
2528,60048195,0.0,0.0,0.0,0.0
2529,60048199,257900.0,0.0,0.0,0.0
2530,60048209,0.0,0.0,0.0,0.0
2531,60048210,0.0,0.0,0.0,0.0
2560,60048770,0.0,0.0,0.0,0.0
2561,60048814,0.0,0.0,0.0,0.0
2562,60048822,0.0,0.0,0.0,0.0
2589,60049522,0.0,0.0,0.0,0.0
2591,60049574,0.0,0.0,0.0,0.0
2592,60049614,0.0,0.0,0.0,0.0
2593,60049618,0.0,0.0,0.0,0.0
2594,60049620,300.0,0.0,0.0,0.0
2595,60049628,0.0,0.0,0.0,0.0
2596,60049685,0.0,0.0,0.0,0.0
2597,60049691,0.0,0.0,0.0,0.0
2598,60049698,0.0,0.0,0.0,0.0
2599,60049700,0.0,0.0,0.0,0.0
2600,60049711,0.0,0.0,0.0,0.0
2601,60049731,0.0,0.0,0.0,0.0
2602,60049739,0.0,0.0,0.0,0.0
2603,60049754,0.0,0.0,0.0,0.0
2604,60049768,0.0,0.0,0.0,0.0
2605,60049777,12026000.0,4325000.0,0.0,0.0
2606,60049783,0.0,0.0,0.0,0.0
2607,60049795,0.0,0.0,0.0,0.0
2608,60049799,0.0,0.0,0.0,0.0
2609,60049805,0.0,0.0,0.0,0.0
2610,60049815,0.0,0.0,0.0,0.0
2611,60049860,0.0,0.0,0.0,0.0
2612,60049865,0.0,0.0,0.0,0.0
2613,60049884,0.0,0.0,0.0,0.0
2590,60049543,0.0,0.0,0.0,0.0
2588,60049510,0.0,0.0,0.0,0.0
2563,60048825,0.0,0.0,0.0,0.0
2587,60049500,0.0,0.0,0.0,0.0
2564,60048826,0.0,0.0,0.0,0.0
2565,60048897,0.0,0.0,0.0,0.0
2566,60048952,0.0,0.0,0.0,0.0
2567,60049120,0.0,0.0,0.0,0.0
2568,60049158,0.0,0.0,0.0,0.0
2569,60049161,0.0,0.0,0.0,0.0
2570,60049172,0.0,0.0,0.0,0.0
2571,60049177,0.0,0.0,0.0,0.0
2572,60049228,0.0,0.0,0.0,0.0
2573,60049232,0.0,0.0,0.0,0.0
2574,60049256,0.0,0.0,0.0,0.0
2575,60049290,0.0,0.0,0.0,0.0
2576,60049375,0.0,0.0,0.0,0.0
2577,60049376,0.0,0.0,0.0,0.0
2578,60049391,0.0,0.0,0.0,0.0
2579,60049409,482000.0,24000.0,0.0,0.0
2580,60049410,0.0,0.0,0.0,0.0
2581,60049413,0.0,0.0,0.0,0.0
2582,60049418,0.0,0.0,0.0,0.0
2583,60049464,0.0,0.0,0.0,0.0
2584,60049469,0.0,0.0,0.0,0.0
2585,60049473,0.0,0.0,0.0,0.0
2586,60049480,0.0,0.0,0.0,0.0
2508,60047816,0.0,0.0,0.0,0.0
2507,60047808,0.0,0.0,0.0,0.0
2506,60047796,0.0,0.0,0.0,0.0
2426,60046212,0.0,0.0,0.0,0.0
2428,60046218,0.0,0.0,0.0,0.0
2429,60046238,0.0,0.0,0.0,0.0
2430,60046251,0.0,0.0,0.0,0.0
2431,60046269,0.0,0.0,0.0,0.0
2432,60046305,0.0,0.0,0.0,0.0
2433,60046336,0.0,0.0,0.0,0.0
2434,60046352,0.0,0.0,0.0,0.0
2435,60046381,0.0,0.0,0.0,0.0
2436,60046382,0.0,0.0,0.0,0.0
2437,60046392,0.0,0.0,0.0,0.0
2438,60046421,0.0,0.0,0.0,0.0
2439,60046425,0.0,0.0,0.0,0.0
2440,60046464,0.0,0.0,0.0,0.0
2441,60046468,0.0,0.0,0.0,0.0
2442,60046470,24900.0,0.0,0.0,0.0
2443,60046486,0.0,0.0,0.0,0.0
2444,60046493,0.0,0.0,0.0,0.0
2445,60046596,0.0,0.0,0.0,0.0
2446,60046599,0.0,0.0,0.0,0.0
2447,60046602,0.0,0.0,0.0,0.0
2448,60046654,0.0,0.0,0.0,0.0
2449,60046669,0.0,0.0,0.0,0.0
2450,60046670,0.0,0.0,0.0,0.0
2427,60046214,0.0,0.0,0.0,0.0
2425,60046183,0.0,0.0,0.0,0.0
2452,60046677,0.0,0.0,0.0,0.0
2424,60046148,190000.0,0.0,0.0,0.0
2401,60045573,0.0,0.0,0.0,0.0
2402,60045581,318000.0,32000.0,0.0,0.0
2403,60045596,0.0,0.0,0.0,0.0
2404,60045676,265000.0,27000.0,0.0,0.0
2405,60045729,0.0,0.0,0.0,0.0
2406,60045813,0.0,0.0,0.0,0.0
2407,60045818,0.0,0.0,0.0,0.0
2408,60045862,0.0,0.0,0.0,0.0
2409,60045878,0.0,0.0,0.0,0.0
2410,60045894,0.0,0.0,0.0,0.0
2411,60045941,0.0,0.0,0.0,0.0
2412,60045953,0.0,0.0,0.0,0.0
